"AUS","AUT","BEL","BRA","BGR","CAN","CHN","CZE","DNK","EST","FIN","FRA","DEU","HKG","HUN","ISL","IDN","IRL","ISR","ITA","JPN","KOR","KGZ","LVA","MYS","MEX","NLD","NOR","PAN","PHL","POL","RUS","SAU","IND","SGP","SVK","ZAF","ESP","SWE","CHE","THA","TTO","ARE","UKR","EGY","GBR","USA","LUX","VEN","HRV","IRN","JOR","NZL","ROU","BLR","DZA","CMR","MDG","NGA","SVN","SCG","KHM","PRT","TUN","TUR","LKA","PAK","VNM","ECU","LTU","KEN","NPL","BRN","MDV","ZWE","CUB","GRD","UZB","SDN","KWT","ARG","BHS","BRB","BLZ","CHL","COL","DOM","SLV","GHA","HND","JAM","ANT","PER"
"SWE",0,0,0,0,0,0,0,0,1048.965,0,0,0,637.788,0,0,0,0,0,0,0,2466.639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHE",0,2.26,0,0,0,0,0,0,0,0,22.189,37.41,40.06,0,0,0,0,0,2.704,0,0.593,3.506,0,0,0,0,0.827,0,0,0,0.678,0,0,0,6.367,0,0,0,0,0,19.225,0,0,64.71,0,1.338,58.328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"THA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346.579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UKR",0,0,0,0,17.012,0,120.166,460.156,0,0,0,0,82.059,0,0,0,0,0,29.24,0,103.632,34.987,0,0,0,0,0,0,0,0,0,318.735,0,0,0,6.949,0,282.552,0,1.85,0,0,0,0,0,0,43.266,0,0,0,0,0,0,0,188.472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EGY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.829,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GBR",31.726,0,15.722,1.097,0,2.881,0,0,0,0,0,89.172,212.054,0,0,0,0,23.26,0,18.517,263.653,35.738,0,0,1.974,0,151.306,0.65,0,0,0,0,2.763,50.743,54.689,0,0,0,19.695,0,0,0,0,0,0,0,489.154,0,0,0,34.397,0,27.359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.641,0,0,0,0,0,0,0,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0
"USA",66.02,72.635,309.271,116.212,0,284.35,5270.802,2240.864,1857.424,0,748.765,1334.564,3920.315,96.516,0,0,7.118,272.684,33.393,1393.034,156145.49,21165.289,0,0,27756.282,3006.677,74.873,613.749,4.437,31.175,1533.214,141.674,7.908,14.926,931.696,0,9.996,12.756,5.98,67.269,18.741,0.809,20.936,362.082,9.468,9690.614,0,0,0,0,0,51.854,3.831,7,1.8,0,0,0,0,0,0,0,0,0,6.904,0,0,11.179,0,0,0,0,0,0,0,0,0,0,0,0,73.828,6.406,3.41,0.612,5.83,59.57,9.166,3.262,56.531,25.076,1.96,3.465,95.785
"LUX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
