"AFG","ALB","ASM","AND","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BTN","BOL","BIH","BWA","BRA","BLZ","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","CHL","CHN","CXR","CCK","COL","COG","COD","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","EST","FJI","FIN","FRA","PYF","GAB","GEO","GMB","DEU","GHA","GIB","KIR","GRC","GRD","GUM","GTM","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LVA","LBR","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MAR","MOZ","OMN","NAM","NLD","ANT","ABW","NCL","NZL","NIC","NER","NGA","NOR","FSM","MHL","PAK","PAN","PNG","PRY","PER","PHL","PCN","POL","PRT","GNB","TLS","QAT","ROU","RUS","RWA","KNA","LCA","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","TJK","THA","TGO","TON","TTO","ARE","TUN","TUR","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","VEN","WSM","YEM","ZMB","SLB","COK","LBY","NRU","VUT","SYR","DZA","AZE","PSE","IRQ","UZB","AGO","BDI","GIN","SOM","TCD","NPL","ATG","COM","MYT","ERI","DJI","PLW","GRL","MSR","ATF","LSO","NIU","AIA","SPM","VCT","TKM","TUV","WLF","SHN","FLK","BMU"
"ISL",0,0,0,0,0,2.068,0,0,0,0,0,0,0,0,0,0,0,3.553,0,0,0,0,0,0,0,0,0,0,0,0,0,2.126,0,0,0,0,0,0,0,0,0,0,0.302,0,5.023,0,0,0,0,0,0,0,0,0.474,0,0,0,0,0,6.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.001,0.886,0,0,0,0.771,0,0,0,4.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.742,0,0,0,0,0,0,0,0,0.102,0,0,0,0,0.189,0,0,0.21,0,0,0,0,0,0.197,0,0,0,0,0,0,0,0,0.406,0,0,0,0,0,2.75,0,2.601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,0,0,21.584,688.152,14.32,0,0,0,0,0,0.396,0,0,0.672,0,43.817,0,0,0.009,1.978,0,0.6,0,0,143.173,0,0,0,0,6.801,10299.43,0,0,12.601,0,0,2.76,0.213,0,0,43.315,0,0.212,0,0,0,0,0,0,0,13.909,2.053,1067.825,0,0,0,0,2804.315,0,0,0,1.844,0,0,0,0,0,0,9473.629,24,2.623,0,0,0,0,44.439,0,0,18376.358,0.147,0,96.154,0,855.023,0.374,0,0,0.28,0,0,0,0,0,0,0,102.466,2.147,0,0,0,0,1355.028,0.811,0,0,3.264,0,0,0,3.328,0,0,0.172,4.447,0,0,0,59.904,0,0,0.012,101.564,0,0,0,2.177,0,135.886,34.951,0,0,0,0,23.618,0,0,0,0,0,0,0,1.108,0,0,41.214,1501.031,174.706,33.525,7.793,27.23,0,320.986,0,0,0,1.68,10.394,0,77.756,0,0,0,0,0.023,71.145,0,42.098,2.194,0,0,271.78,0,1813.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0.644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRN",0,0,0,0,0,0,0,0,0,0,0.529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0.036,0,0,6.633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,0,0,0,1.382,2.066,47.528,0,0,0,0,0.053,759.343,0,0,2.105,0,43.27,0,0,0,0,0,0,0,0,275.668,0,0,0,0,16.457,27.582,0,0,0.006,0,0,0,7.867,0,0,21.068,0,11.03,0,0,0,0,0,0,0,0,76.754,2687.994,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,8.372,2.262,0,0,0,260.241,413.183,0,0,67.021,0,0,0,0,39.449,0,0,0,0,48.761,0,0,0,0,0,0,12.895,0,0,0,0,0,101.973,0,0,0,7.33,0,0,0,115.101,0,0,0,0.021,0,0,0,46.639,0,0,0,0,0,0,0.049,0,0,24.022,0,0,0,2.811,23.524,4.929,0,0,0,0,0,0,0,0.699,0,0,3.33,124.293,652.385,0,11.6,35.302,0,39.43,0,0,0,22.965,17.268,0,0,0,0,0,0,0,4.252,0,0.08,0,0,16.15,1549.79,0,1034.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,0,0.055,5233.361,0.162,0,0,0,0,0,55.542,0,0.578,0,0,220.318,0,0,0,0,0,0,0,0,26.196,0,0,0,1.417,70.663,66.086,0,0,0.745,0,0,14.958,0,0,0,5.166,0,4.114,0,0,0,4.397,0,0,0,0,5.874,325.288,0,0,0,0,434.69,0.387,0,0,0,0,0,0,0,0,0,25.404,0,0,0,0,36.075,0,227.069,0,0,106.309,7.177,0,17.64,0,123.02,0,0,0,0,0,0,8.908,0,0,0,0,0,0,0,0,0,0,528.519,0,0,1.723,0,0,0,0,139.997,0,0,0,6.136,0.279,0,0,0,0,0,0,0,0,0,4.845,19,0,8.351,0,0,0,0,15.096,303.219,0,0,0,0,0,0,1.625,2.234,0,0,29.183,19.528,0.125,0,27.002,1.039,0,25603.113,0,0,0,2119.194,7.694,0,26.459,0,0,0,0,0,120.593,0,0,0,0,0,199.242,0,961.347,0,0,5.415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",0,31.974,0,0.133,68.891,209.92,266.218,0,1.691,7.903,0.756,0.154,929.888,0,2.379,17.229,7.75,1269.007,0,0,0.099,530.119,0,69.567,0.663,48.723,351.725,14.601,0,2.573,14.615,142.048,753.762,0,0,4.8,3.12,12.976,18.368,10154.459,3.306,17.063,334.965,0,237.589,0,34.969,22.234,6.947,0,10.18,52.558,0,160.823,14527.727,6.142,0,0.33,0,31675.304,4.285,0,0,1399.406,0,0,9.937,0,0,3.89,329.009,1937.909,40.066,48.019,12.894,255.751,478.987,0,4.703,4.208,443.798,26.488,25.352,98.255,0,151.389,0.677,0,0,9.379,13.165,0,32.725,6.595,0,62.583,0,101.534,8.893,30.286,66.101,5.339,14.075,244.065,1.953,54.458,19.524,105.014,12.51,0,0,3767.537,0.783,0,6.109,143.966,59.493,12.086,511.566,70.027,0,0,5.522,1.206,0,0.112,32.863,38.244,0,872.443,686.049,17.04,0,11.104,1344.414,1036.01,0,0,0.055,0,0,320.105,1.189,197.311,0,0,74.231,143.628,1462.836,9.64,365.812,307.002,0,14718.852,1.695,0,0,965.108,696.936,0,47.157,0,0,78.033,140.497,34.026,797.25,0,68.438,55.837,1.795,1082.754,2161.199,139.845,1932.356,5.339,18.296,90.845,0,0,0,0,0,0,0,0,0,44.315,1.226,5.95,0,0,5.954,43.276,0,0,29.006,0,0,0,0.712,810.794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CIV",0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",0,2.286,0,1.083,932.584,21165.374,23047.244,16.758,25.099,5650.511,0.666,0,105160.575,0,702.785,8.584,0,8179.601,0,0,0,1117.412,0,695.4,2.761,75.787,12328.029,0,0,0,9.624,359.059,954878.403,0,0,146.642,0,0,13.738,377.294,0,632.415,92316.261,0,1524.769,0,25.727,2.426,2.486,0,6.006,1687.907,8.434,10811.218,40877.065,0.511,0,3.563,0,599182.328,0,0,0,147.483,0,0,0,0,0,2.928,812813.224,215591.666,21.428,28759.96,258.619,1551.008,10065.391,80420.618,7.195,3.65,0,5.914,10.037,713.339,0,318769.247,332.631,10.724,0,20.065,117.234,0,259.109,14.033,5881.495,43.106,340.347,68402.179,1.444,0,0,0,5.173,107607.084,0,3.316,0.132,60.516,5.539,70.686,0,29788.933,3.251,0,1.207,1332.379,403.727,0.017,15.685,1310.655,0,0,195.845,3.914,0,1.471,300.276,158024.929,0,3141.241,382.363,0,0,92.904,959.368,4535.213,0,0,0,0,0,179.883,9.998,163.848,0,0,22432.572,131743.508,2134.369,44722.682,1404.218,7029.645,0.048,122846.615,0,0,0,6315.222,9311.869,0,376427.478,0,0,0.622,9303.399,332.458,1057.199,0,26.036,1053.026,4.442,43.102,349823.983,0.87,556054.508,9.692,12.451,1.077,0,8.344,0,0,0,0,0,0,2.434,228.736,0.042,0,0,0,2.695,0,0,0,0,4.809,0,0,0.178,0,0,0,0,0,0,0,0,0,0,0,0,148.974,0,0,0,0
"KAZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063,0,0,0,1.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.007,0,0,0,0,4.19,0,0,0,0,0,0,3.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.057,0,0,0,0,0,0,4.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290.548,0,0,0,0,0,0,0,0,0,0,0,0,0,181.138,0,0,0,0,282.897,32.272,0,0,0,0,0,24.471,0,0,0,0,0,0,0,0,0,0,0,0,0.936,0,119.468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,7.239,0,0,0,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984,0,0,0,0,0,0,0,0,0,0.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.311,0,0,0,0,0,2.773,0,0,0,0,0,0,0,0,0,0,182.333,0,2.492,0,0.064,0,0,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,4.433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOR",0,0,0,0,35.906,918.559,439.992,0,0,38.885,0,0,209.781,0,0.054,2.072,0,1813.088,0,0,0,22.507,0,12.444,0,0,4529.734,0,0,0,0.756,8.31,220366.234,0,0,0.892,0,0,3.421,4.092,1.097,8.152,104.681,0,755.532,0,37.575,4.741,0.783,0,0.756,6.879,0.642,302.722,1075.986,0,0,23.574,0,13232.647,0,0,0,4.668,0,0,0,0,0,0,140894.864,3727.732,0.752,1653.376,29.739,47.341,927.291,11692.018,0.533,0,40240.81,96.223,7.433,329.673,0,0,0.014,0,0.572,0,41.727,0,0.041,5.677,610.986,0,0,5148.631,0,0,0,0,0,5162.35,0,0.001,1.863,3.782,0,0,0,250.263,0,0,0.261,122.527,0.912,0,0,25.577,0,0,19.403,0,0,5.027,27.307,126.529,0,3047.658,3.107,0,0,0,92.793,217.711,0,0,0,17.38,0,2.655,0,8.698,0,0,610.921,4103.047,511.865,273.983,300.245,544.625,0,36255.917,0,0,47.509,521.542,494.744,0,1448.049,0,0,3.431,6.09,1.814,1288.05,0,0,4.507,0.077,0.12,1304.111,0,16650.94,0,0.11,17.997,0,0,0.05,0,0,0,0,0,0,0,0.017,29.978,0,0,20.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KWT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KGZ",0,0,0,0,0,0,0.576,0,0,0,0,0,0,0,0,0,0,0.865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBN",0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0,2.966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LVA",0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.334,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,45.968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LTU",0,0,0,0,0,0,17.145,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,2.929,0,41.685,0,0,168.673,0,0,0,0,0,0.344,0,0,0,0,0,0,0,0,0,3.515,0,3.617,0,0,0,0,0,0,66.078,0,14.346,30.683,0,0,0,0,29.346,0,0,0,0,0,0,0,0,0,0,31.991,7.48,0,0,0,3.069,158.85,886.606,0,0,18.163,0.384,0,0,0,0,0,0,0,0,77.636,0,0,0,0,0,0,0,0,0,0.026,0,0,1.913,0.102,0,0,0,0,0,0,0.066,0,0,0,2.051,0,0,0,4.3,0,0,0,0,0,0,0,0,0,49.035,0,0,0,0,0,51.006,0,0,0,0,0,0,0,0.045,0,0,0,10.504,1.432,0,0,0,0,91.001,0,0,0,890.577,2.465,0,0,0,0,0,0,0,0.383,0,0,14.894,0,0,5.262,0,1056.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LUX",0,0,0,0,0,0,150.627,0,0,0,0,0,468.689,0,0,0,0,0,0,0,0,0.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689,0,0,0.177,0,0,0,0,0,0,0,0,0,0,1.224,285.485,0,0,0,0,1774.563,0,0,0,0.107,0,0,0,0,0,0,0,0,0,0,0,0,0.952,5.473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.825,0,0,0,0,0,0,0,45.43,0,0,0,0,0,0,0.436,0,0,0,0,0,0,0,0,0,0,40.683,14.1,0,0,0,0.873,0.738,0,0,0,0,0,2.263,0,0.128,0,0,0,0,0,0,0.274,0,0,1224.775,0,0,0,2.435,2.926,0,0,0,0,0,0,0,0,0,0,0.129,0.274,0,15.118,0,3.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.721,0,0,0,0,0,1620.791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.431,0,0,0,0,8270.795,0,0,0,0,0,0,0,0,0,0,73.68,0,0,0,0,0,0,22.901,0,0,10.686,0,0,0,0,78.682,0,0,0,0,0,0,0,0,0,0,0,9.346,0,0,0,0,0,0.303,0,0,0,0,0,0,0,4.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.628,0,0,0,0,0,0.913,0,0,0,1009.218,3.982,0,36.991,0,0,0,0,0,0,0,0,0,0,0,29.782,0,79.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MWI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502,0,2.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
