"DZA","ARG","AUS","AUT","BGD","BRB","BEL","BOL","BRA","BGR","BLR","CAN","CHL","CHN","CCK","COL","CRI","HRV","CUB","CYP","CZE","DNK","DMA","DOM","SLV","EST","FIN","FRA","PYF","GAB","GEO","DEU","GIB","GRC","HTI","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JPN","JOR","KEN","PRK","KOR","KWT","LBN","LBR","LTU","MAC","MWI","MYS","MLI","MLT","MRT","MEX","MDA","MAR","MOZ","NLD","ANT","NCL","NZL","NER","NGA","NOR","PLW","PAK","PAN","PHL","POL","PRT","QAT","ROU","RUS","RWA","LCA","SPM","SAU","SEN","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SWE","CHE","TJK","THA","TTO","ARE","TUN","TUR","UGA","UKR","EGY","GBR","USA","BFA","URY","UZB","VEN","SCG","ZMB","GTM","PRY","PER","AGO","SLB","KHM","LKA","FJI","KIR","MDV","MUS","MNG","VUT","PNG","TON","WSM","BIH","GHA","JAM","LBY","BDI","TCD","COG","COD","GMB","SUR","ECU","GUY","NPL","KAZ","LVA","BHS","MMR","GIN","SYR","NIC","YEM","TZA","CMR","CPV","CAF","COM","BEN","GNQ","ETH","DJI","MDG","TGO","MKD","STP","AND","AZE","BHR","ERI","GRL","HND","OMN","SDN","ALB","BRN","COK","ABW","BTN","PCN","GNB","ARM","LAO","NRU","SYC","BLZ","ATG","BMU","VGB","GRD","IRQ","FSM","MHL","KNA","VCT","TCA"
"LCA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.919,0,0,0,0,0.751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IND",0,0,126.168,13.925,51.823,0,0,0,0,0,0,3.025,0,0,0,10.157,40.286,0,0,0,0,3.499,0,0,0,0,0.926,24.285,0,0,0,80.493,0,2.489,0,31.466,10,0,9.47,0,0,9,642.173,0,29.542,0,153.643,0,0,0,0,0,0,0,0,0,923.982,0,0,4.976,0,0,0,0,0,0,0,0,1.004,0,0,4.983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.678,0,0,0,214.881,1.971,19.357,0,18.675,0,40.344,0,3.419,0,0,8.447,0,0,188.699,1657.914,1.695,0,0,0,0,0,0,0,0,0,0,0,50.717,0,0,0,15.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.716,0,0,0,0,0,21.314,0,0,48.774,0,0,0,0,0,0,12.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.677,0,0,0,0,0,0,0,0,0,0,0,0
"SGP",0,91.788,613.49,116.762,83.74,0,288.369,0,207.722,5.775,0,3042.664,1.54,576.565,0,1.18,1.719,0,0,0,0,0,0,0,0,1.739,4.245,209.58,0,0,0,3537.111,0,0,0,5605.252,59.531,0,144.74,126.778,22.068,152.534,162.711,0,1470.188,0,0,0.531,17618.234,0,15.408,0,0,0,0,26337.919,0,17.205,0,793.098,0,1.319,0,4.664,0,0,152.99,4.185,0,20.206,0,89.481,0,4130.881,181.222,19.309,0,2.965,8.752,0,0,0,0,0,0,978.35,0,0,114.012,0.821,44.078,47.787,73.447,1.442,17.675,0,7094.295,0,539.446,0,45.857,0,1.104,5.685,333.945,20822.568,0,0,0,0,1,0,0,0,0.853,0,0,7.686,2.972,0,0,8.898,8.353,0,0,57.776,0,0,0,0,0,0,0,0,0,0,0,0,0.598,0,99.691,1.987,0,0,44.295,0,5.753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,18.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SVK",0,0,0,3.357,0,0,2.639,0,0,0,0,0,0,0,0,0,0,0,0,0,195.827,0,0,0,0,0,0,0,0,0,0,29.584,0,0,0,0,51.617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.128,0,0,0,4.939,0,0,0,0,0,0,0,0,0,0,1.034,0,0,0,0,25.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VNM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SVN",0,0,0,291.256,0,0,0,0,0,0,0,0,0,0,0,0,0,44.284,0,0,0,0,0,0,0,0,0,1.113,0,0,0,5.057,0,0,0,0,0,0,0,0,0,0,18.63,0,0,0,0,0,0,0,1.565,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.479,0,0,0,5.049,6.754,0,0,0,0,9.817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZAF",0,4.5,15.209,1,0,0,0,0,0.534,0,0,0,35.235,0,0,0,0,10.669,0,0,0,0,0,0,0,0,0,0,0,0,0,18.299,0,0,0,0,1.47,0,0,0,0,0,0,0,0,0,21.149,0,0,0,0,0,0,0,23.512,0,0,0,0,0,0,0,131.735,9.744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.968,0,0,0,0,0,129.681,0,0.917,0,0,1.489,0,0,0,0,0,0,0,17.522,6.863,0,0,0,0,0,29.291,0,0,0,0,0,0,0,0,0,0,5.674,0,0,0,0,0,0,0,0,0,0,0,0,4.665,0,0,0,0,0,0,0,0,0,0,0,0,0,5.828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZWE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.859,0,0.76,0,0,0,0,0,0,0,0,7.322,0,0,0,0,0,0,0,0,0,9.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ESP",259.365,100.135,12.291,56.344,0,0,223.378,11.801,44.751,0,0,4.26,111.053,1.752,0,221.14,4.891,0,72.081,13.656,11.422,147.945,0,1.747,1.526,6.637,171.639,378.954,16.108,0,0,10282.417,0,51.265,0,75.135,5,0,0,0.954,2.276,8.213,304.544,0,38.849,0,0,0,0,0,2.693,0,0,0,0,0,0,36.011,23.303,58.737,0,662.384,0,437.572,0,0,0,0,0,435.58,0,0,1.472,401.852,59.316,825.569,0,0,4.11,0,0,0,5.81,954.321,0,1.327,50.569,0,0,8.106,62.202,0,0,67.086,1218.835,0,39.171,0,0,67.388,29.602,0,0,51.933,1153.102,1065.04,1.456,8.197,0,188.046,0,0,0,0,81.368,27.854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.11,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SWE",91.47,31.201,17.509,223.88,0,0,514.298,0,129.28,0,9.7,132.735,11.379,43.654,0,5.998,1.503,12.605,0,1.294,0,1285.638,0,0,0,6.526,2955.562,1725.988,0,0,0,2920.699,0,16.255,0,430.703,6,3.466,1.791,0,42.605,18.936,933.448,0.615,3972.006,2.182,14.815,0,63.298,3.539,0.986,0,10.499,0,0,14.707,0,3.408,0,124.761,0,1.262,0,390.249,0,0,11.114,0,0,684.235,0,5.243,0,22.018,8.39,2.042,0,1.048,40.191,0,0,0,3.67,0,0,8.647,76.021,2.385,0,14.568,16.553,0,72.8,0,2019.164,0,2.466,0,0,2.218,14.638,3.932,3.015,1.179,1591.958,11017.829,0,0,0,1.964,3.932,0,0,2.056,0.516,0,0,0,1.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.047,0,0,0,2.836,0,0,0,0,0,9.307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.655,0,0,0,1.311,0,0,0,0,0,0,0,0,0,0,0,1.179,0,0,0,0,0,0,0,0,0,0,0
"CHE",86.057,20.697,51.425,340.886,0,0,126.261,0,34.646,15.228,13.33,2747.379,8.589,12.975,0,5.963,1.718,14.209,0,2.836,24.077,35.226,0,0,0,1.052,59.128,488.688,0,1.929,0,5078.762,0,10.554,0,83.423,68.104,10.067,9.949,0,9.172,305.007,269.545,9.453,207.556,4.16,10.62,0,273.728,0,1.53,0,0,0,0,46.113,0,25.738,0,18.131,0,9.527,0,184.214,0,0,1.367,0,2.299,58.7,0,0,0,2.506,165.832,18.611,0,36.263,5.107,0,0,0,13.655,2.946,0,22.01,31.065,31.074,2.997,15.715,58.929,0.515,95.334,507.62,0,0,571.85,0,4.586,7.041,21.895,0,0.855,2.359,11755.292,9492.466,0,4.01,0,2.043,2.66,0,0,0,4.006,0,0,1.624,19.674,0,0,0,0,0,0,0,0,0,0,2.386,0,0,0,3.31,0,0,0,0,6.03,0,0,0,0.981,0,0.834,0,0,0,0,0,1.961,3.744,0,0,0,0,0,0,0,1.358,21.998,0,0.634,0,2.274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.614,0,0,0,0,0,0,0,0,0,0,0
"TJK",8.345,0,0,2.706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"THA",0,15.162,170.467,108.718,71.33,0,7.142,0,145.735,0,0,1141.927,1.699,565.985,0,0,0,0,0,0,0,2.425,0,0,0,0,22.628,271.503,0,0,0,2724.652,0,0,0,3173.42,42,0.503,0.76,33.391,291.097,92.386,261.338,0,14587.952,1.544,0,0,5483.649,0,0,0,0,0,0,4769.386,0,19.114,0,956.441,0,0,0,2.133,0,0,10.518,0,0,23.848,0,2.845,0,1854.181,75.621,10.406,0,0,2.718,0,0,0,0,10.874,0,63.534,5263.621,2.703,0,1.054,2.302,0,61.427,5.4,1271.475,0,0,0,0,0.837,299.023,0,0.539,0,1146.272,14589.421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,90.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.323,0,0,0,0,0,0,5.504,0,0,0,0,0,0,0,0,0,0
"TTO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARE",0,0,0,0,0,0,0,0,3.885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.548,0,0,0,0,0,0,3.913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577,0,4.383,0,0,0,0,0,0,0,0,11.528,0,0,1.965,0,0,0,0,0,0,7.519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.535,0,0,0,0,0,0,0,0,2.787,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUN",0,0,0,8.201,0,0,0,0,0,0,0,3.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUR",0,0,0,0,0,0,0,0,0,2.438,0,0,0,0,0,0,0,2.002,0,7.574,0,0,0,0,0,0,0,0,0,0,0,36.745,0,0,0,0,0,0,0,0,0,0,6.402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.275,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.871,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.539,0,0,22.828,0,0,0,0,1.749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UGA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UKR",0,0,0,0,0,0,0,0,0,0,19.66,14.479,0.539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.539,59.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583.644,0,0,0,0,0,0,2.139,0,0,13.959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EGY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GBR",791.764,52.82,498.604,131.878,0,0.871,513.07,0,367.85,7.356,0,11040.988,56.253,187.471,0,68.382,1.245,17.113,0,28.825,18.08,4753.061,0,0,0,5.12,2374.723,4179.13,0,0,0,8254.385,1.071,30.606,0,2146.789,247.47,49.677,36.059,11.094,4642.789,1956.004,6265.266,5.219,1159.147,2.455,244.345,12.473,2548.673,14.337,20.356,0,15.782,0,16.316,69.484,57.749,27.751,0,413.472,0,76.797,0,5569.361,0,5.9,145.378,6.361,13.921,147.634,0,128.639,0,22.287,840.401,1071.247,5.564,9.988,45.137,1.918,12.565,0,38.623,2.853,0,481.983,1229.419,5.163,113.662,8.476,887.479,0,927.197,3087.494,2302.615,0,66.262,0,4.475,8.414,248.553,177.669,79.972,959.524,0,45690.685,0,95.935,0,38.171,17,242.437,0,0,8.49,0,0,0,0,0,0,230.355,2.902,0,0,0,0,0,0,117.831,0,1685.192,0,0,31.208,0,119.283,0,0,0,0,0,0,0,0,0,9.291,0,5.118,112.906,0,2.676,0,0,0,0,440.322,0,0,31.45,2.258,0,0,0,42.038,97.935,0,0,13.572,24.326,0,13.542,0,0,0,0,0,0,0,0,0,0,2.534,0,0,0,0,0,0,0,0,0
"USA",65.128,2391.51,4971.239,1077.357,11.332,52.124,2443.034,343.894,12349.721,32.216,0,47226.574,1215.3,3942.093,0,1757.731,1354.992,35.585,0,12.08,42.217,1036.257,3.3,2417.919,18.479,25.529,3088.403,10194.603,13.376,19.929,0,58752.48,0,38.671,14,11400.374,278.269,17.082,1716.074,0,3869.183,8896.271,4443.162,317.477,84612.617,0,94.299,0,14629.804,30.932,7.471,0,0,7.018,0,43162.392,137.052,33.456,0,80828.373,0,864.919,2.983,30081.985,57.516,0,445.643,19.713,35.544,832.003,19.871,194.25,51.082,157537.476,346.71,140.853,0,212.665,335.531,0,16.843,0,351.451,48.41,0,2496.893,41492.056,158.52,76.52,250.824,2803.32,528.064,6374.962,5800.224,3027.799,0,2622.613,49.485,48.468,25.376,454.782,23.238,39.22,674.253,18016.243,0,7.5,77.883,0,562.541,18.615,0,103.759,7.26,2024.995,46.197,0,0,83.88,22.645,25,45.434,1.968,21,0,32.755,0,0,0,80.57,81.387,0,0,0,0,0,2.774,0,230.391,0,85.981,0,6.192,90.94,0,10.45,36.929,25.976,69.55,19.384,16.174,0,0,0,0,0,4.219,0,16.59,9.224,2.345,0,4.152,0,2.924,0,0,163.496,1005.063,8.244,0,0,0,5.592,0,0,0,0,0,0,0,163.137,0,13.389,8.25,10.643,5.595,7.872,7.872,45.108,2.556,55.733
"BFA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"URY",0,0,0,0,0,0,0,0,0.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UZB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
