"AFG","ALB","DZA","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BTN","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","LKA","TCD","CHL","CHN","CCK","COL","COM","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","EST","FJI","FIN","FRA","PYF","DJI","GAB","GEO","GMB","PSE","DEU","GHA","GIB","KIR","GRC","GRL","GRD","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","BES","NCL","NZL","NIC","NER","NGA","NIU","NOR","FSM","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","GNB","TLS","QAT","ROU","RUS","RWA","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SSD","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TTO","ARE","TUN","TUR","TKM","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","TCA","CXR","ERI","FLK","VUT","TON","CAF","SPM","MHL","PLW","WLF","MNP","ATF","MSR","NFK","BLM","ASM","IOT","SHN"
"DEU",73.453,394.443,16841.3,14.045,316.358,4.093,948.745,2504.787,17510.827,92468.765,489.371,1024.366,401.414,242.692,16.42,70792.599,4.774,0.309,211.041,1017.734,43.915,14669.345,0,26.616,2.805,124.679,6177.074,1419.372,5.79,21682.656,46.652,70.33,23567.921,4.996,10.95,217.622,30.441,3037.741,257688.003,0,23524.576,0,117.76,62.444,0,267.676,4518.785,754.355,824.804,58465.76,1.37,27983.976,13.46,89.614,535.193,117.748,0,279.573,5334.048,28.224,17851.654,207289.403,54.305,45.038,66.179,554.212,0.312,25.765,0,70.994,12.528,0,10857.081,0.194,23.108,9.017,177.553,0,17.561,19.777,48.464,21446.775,39199.922,941.568,2024.227,1825.763,5012.65,7894.093,10247.875,88748.15,166.308,8.3,77221.967,1569.916,1207.092,879.925,3.105,31113.32,2354.437,61.461,169.868,905.672,0,2395.182,6.583,278.662,3441.405,4917.592,27.365,7.379,10.644,9380.962,77.5,5210.3,311.828,61.434,150.754,23027.765,106.511,237.077,124.801,1558.11,70.193,1402.33,92.52,0,114.624,155828.431,9.918,18.91,2.722,0,67.008,1242.027,112.909,5.343,306.876,0,17221.66,0,1045.976,341.689,6.434,172.344,1006.237,1431.494,96939.394,12645.752,0,0,883.552,23989.32,32537.131,15.522,2.218,0,6.033,0,256.229,13.114,23052.244,14.688,3479.715,42.524,1.12,35144.06,23271.802,17246.705,4403.855,4985.188,14.57,18578.589,113.797,83062.154,1.125,109.502,29.332,21.275,37231.528,77245.827,44.912,66.883,10504.51,3.279,0,176.648,18852.855,1149.086,39422.905,710.62,114.435,2819.44,469.582,3391.142,176841.231,139.95,433571.667,22.574,334.027,737.254,300.484,4.401,14.082,28.806,0,0,0,0,1.664,0,0,1.581,0,0,0,0,0,0,0,0,0,0,0
"GHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.069,0,0,0,0,0,0,0.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.455,0,0,0,0,0,18.282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0,0.52,0,0,0.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.517,0,0,0,0,0,0,7.801,0,0.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079,0,0.371,0,0,0,0.07,1.831,204.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,56.812,24.71,0,2.22,0,0,0,44.068,18.969,0,0.362,0,0,0,0.047,0,0,0,14.313,0,0,0,0,0,0,368.233,0,0,0,0,1.192,5.074,0,0,4.368,0,0,102.606,0,0.893,0,0,0,0,0.011,49.703,0,966.82,6.158,5.23,2.205,0,0,0,4.309,0,0,1.977,0,10.954,84.605,0.136,0,0,3.223,0,0,164.582,0.576,0,0,0,0,0,0,0,0,0,0,0,10.495,0.087,14.183,0.345,0,0,4.105,103.597,144.04,1.069,0.026,28.56,5.75,0,10.604,0,2.134,9.569,0,0,9.047,0,0,0.087,0,154.182,0,0,6.31,0,0,0,0,1.012,0,0.632,6.223,0.965,1.159,1.069,1.781,0,0.22,0,0,0,23.134,0,0,0,0,0,0.467,0,0,22.858,0,0.746,0,0.543,0,0,0,0,3.554,2.602,61.334,0,0,4.014,694.554,0,0,0,0,0,0,0,0,10.395,0,46.221,0,0,27.369,13.545,0,0,22.048,0,3.279,0,17.044,0,0,0,0,11.127,21.65,0,0,1,0,0,0,281.592,9.447,37.482,0,0,0,66.092,16.55,487.248,0.077,302.172,0,0,0,0,0,0,0.518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.012,0,0,0,0,0,0,0,0,0,0,2.767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUM",0,0,0,0,0,0,0,0,0,7.681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.155,0,0,0,0,0,0,0,0,0
"GTM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173,0,0,0,2.862,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0.184,0,0,12.073,0,0.038,0,0.098,0,0,0,2.658,0,437.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.658,20.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.852,0,0,0,0,0,0,0,0,0,0.756,0,0,0,0,0,0,58.444,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.236,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.691,0,0,0,0,0,0,0,0,0,0.178,0,0,0,0,0,18.295,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,1.172,0,0,0,0,0,0.432,0,0,0,0,0,0,1.113,0,0,0,0,0,0,0,20.661,0,0,0,0,0,0,0,0,0,0,0,0.548,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051,0,0,0,0,0,0,70.432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.435,0,13.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",34.832,78.093,187.513,18.097,135.917,0,156.696,78.529,18386.371,544.826,25.311,4.709,619.766,2.09,5.441,386.086,18.556,7.74,7.367,11.593,16.995,7667.397,7.601,2.146,0,56.222,1238.995,269.168,0,1.79,319.98,3.943,2146.335,24.394,0,179.486,0,364.299,585273.131,0,517.596,0,47.94,0.473,0,255.285,8.251,0,902.284,765.637,0.5,2695.902,0,113.325,553.677,7.493,0,90.701,61.35,18.692,1168.272,9449.215,1.814,0,0,204.462,0,7.39,18609.674,91.978,25.443,0,529.446,0,0,40.972,764.969,0,0,0,0.798,0,2344.853,61.697,4833.136,572.368,12.796,810.029,10022.864,950.993,1.512,64.937,3917.456,16.353,204.516,26.686,0,22210.249,2.708,9.719,5.447,1.492,0,383.628,0,18.339,47.714,23.086,7989.1,6.663,3.295,8690.735,48.178,3.821,724.096,0,94.375,16142.715,3.201,6.124,0.508,5.468,37.021,12.05,5.65,0,144.363,37769.62,0,21.738,0,0,11.09,382.209,0.593,0,379.646,0,528.624,0,77.647,1056.093,55.969,34.734,877.63,2316.522,1575.829,410.853,3.134,0,44.999,78.207,7220.037,25.374,0.079,0,6.34,0,0,14.55,1222.849,2.32,6.311,4.15,4.332,9128.364,4347.55,485.211,369.771,33.876,0,4600.67,89.312,3372.057,0,35.349,0,0,824.055,1329.582,0,0,5694.03,0,0,0.728,133.688,374.937,223.157,0,38.942,120.212,8.378,447.434,50879.641,24.684,21962.873,6.76,174.546,2.58,335.925,0.151,0,4.863,0,0,0,0,21.59,0,0,0,8.869,0,0,14.252,0,0,0,0,0,0,0
"HUN",0,69.749,6.495,0,31.92,0,61.945,1986.421,1200.557,5007.468,0,97.902,0,2.148,1.162,2041.989,5.643,0,10.44,173.066,0,758.397,0,0,0,0.309,2201.245,0,0,0.818,0,0,1288.525,0.357,0,0,0,348.843,2861.332,0,195.03,0,0.023,0,0,286.245,1720.749,0,129.493,6475.668,0,476.258,0,11.492,18.445,0.848,0,0,380.005,0,131.272,48089.278,53.48,0,0,4.704,0,0,64068.286,14.173,55.766,0,384.101,0,0,0,0,0,0,0,2.039,1025.434,0,1.362,113.303,37.384,5.055,49.222,551.538,7499.483,5.989,0,5273.089,61.754,39.645,43.052,0,2023.661,183.446,0,0,198.218,0,634.476,0,0,289.377,44.015,0,1.211,0,155.764,40.469,0,145.81,0,0,2414.137,0,25.579,68.622,20.645,0,116.783,0.093,0,0,23644.93,0,0,0,0,31.729,89.982,0.46,0,18.34,0,234.731,0,2,180.241,0,0,138.205,0,2360.58,279.094,0,0,311.644,8319.412,1433.982,0,0,0,0,0,0,0,312.863,5.748,1734.477,0,0,374.423,20.33,3167.118,20.427,1889.611,0,332.94,15.632,1566.496,0,0,0,0,941.645,1383.931,0,0,1956.939,0,0,0,6335.492,68.177,13049.723,15.713,0,3874.345,101.144,862.687,8598.16,37.369,5534.538,2.273,134.625,0,0,0,0,0,0,0,0,0,0,0,0.684,0,0,0,0,0,4.438,0,0,0,0,0,0
"ISL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.27,0,0,0,0,1.194,0,0,0,0,0,0.146,0,0,0,0,0.055,0.443,0,0,0,0,2.286,0,0,0,0,0,0,0,10.693,0,0,0,0,0,0,0,0,5.515,138.558,0,0,0,0,0,0,3.178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,0,0,5.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.022,0,0,0,0,0,0,0,0,0,0,0.523,0,0,0,0,0,0,0,0,0,0,0,0,0,1922.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.943,0,0,0,0,0,0,0.711,0,0,0,1303.425,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,275.051,0,2.371,0,1.17,582.922,1233.753,67.499,0,0.024,2.293,5.35,0.358,28.297,0,0,6.527,20.493,0,1862.503,0,0,0,0.835,0.374,118.091,0,25.6,0,0,832.549,0,0,138.907,0,297.956,2056.225,0,781.579,0,0,2.938,0,26.891,0,0,0.084,328.015,0,47.303,0,2.745,172.797,18.079,0,0,23.486,0.1,142.834,8941.784,8.856,0,0,0,0,0,3429.137,0.238,0,0,0,0,0,0,0,0,0,0,16.86,486.874,6873.473,39.786,0,0,0,4.602,4,28.211,6.144,0,23231.907,72.277,1.29,1.767,0,9369.926,7.6,0,0,66.281,0,0,0,0,3.855,1.983,0,1.443,0,1379.068,0,0,7.21,0,198.804,2529.598,0,2.407,13.643,1.012,0,29.04,0,0,0.087,39.167,0,0,0,0,3.567,645.868,33.99,0.254,0.29,0,344.654,0,25.894,0.004,0,229.997,239.733,114.228,13445.417,228.719,0,3.144,5.021,0,536.061,0,0,0,0,0,0,0,13.6,0,63.043,0,0,1126.847,20998.321,2303.012,1122.31,50.131,0,538.698,0,558.203,0,0,0,0,3.319,1094.537,0,0,9494.051,0,0,0,52.061,153.561,648.459,0,0,168.861,7.402,885.461,803.249,0.529,16515.408,0.544,21.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRN",0,0,0,0,0,0,0,0,0,0.686,0,0,0,0,0,22.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.252,0,0,0,0,0.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194,0.165,0,0,0,1.661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1.65,0,0,0,0,0.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0,0,0,0,0.478,0,0,0,0,0,0,0,0,0,0,0.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.635,0,1.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.722,0,1.73,32.144,0,0,0,0,4.472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.913,0,0,0,0,0,0,2.426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.551,0,0,0,0,0,0,0,26.658,1.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.552,30.244,0,0,0.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0.443,51.82,10.857,0,0,0,15.707,13.301,3108.637,875.326,0.427,11.221,0.065,0,0.735,3738.974,0,0,0.48,32.697,0,971.318,0,0,0,0,81.251,0,0,1.1,0,1.026,29.102,0,0,21.52,0.193,1.743,1631.443,0,3.494,0,0.545,0,0,32.635,10.778,0,5.593,182.758,0,831.886,0,0,0,4.544,0,0.669,3.466,0.432,321.802,6277.465,2.223,0,0.535,0,0,0.016,10433.998,0.232,0.221,0,29.344,0,0,0,0.17,0.266,0.075,0,6.558,579.241,102.383,5.531,13.287,0.475,0.595,0,1313.543,4049.477,7.953,88.386,5022.55,0,3.27,0.539,0,804.036,29.937,0,0,2.405,0,9.054,0,0,247.857,6.979,0.002,0,0,188.545,0,0,5.367,0,31.43,59.754,0,0.205,0,3.692,6.304,17.662,0,0,0,4446.991,0,0,0,0,9.287,442.837,0,0,47.513,0,632.536,0,17.186,0,0,0,11.708,1.664,1140.751,292.509,0,0,124.009,14.422,106.571,0,0,0,0,0,1.484,0,473.807,0.944,90.116,0.098,0,1451.879,2383.323,152.564,5.524,67.616,0,172.036,1.019,7827.86,0,0.11,0,0,1362.536,1797.033,0,0,548.484,0,0,0,248.85,1.256,716.945,0,0,0.053,0.187,3.769,22779.381,7.585,8101.843,0,7.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,3,0,0,145.202,0,70.046,1918.131,3330.418,401,0,1.394,0,4,0,376.416,0,0,46.434,34.006,51.541,5807.993,0,0,0,0,508.251,55,0,75.8,0,0,3262.727,0,0,47.608,0,839.602,13896.453,0,690.16,0,134.256,0,0,112.912,18.715,0,776.882,4644.545,0,109.438,0,3.384,50.253,0.448,0,37.685,242.274,3,124.339,2363.082,0.212,6,0,354.682,0,0,4858,82.004,0,0,21.038,0,0,0,10,9,4,0,14.971,1905.393,145.634,8.278,0.893,0,0,176.596,0,11253.784,0.101,6,5310.722,21.028,11.032,67.572,0,755,0,1.061,0,0,0,16,9,0,135.212,133.952,1.86,0.214,463.987,0,0,0,7.233,0,92.619,4722.642,11.027,0.772,8.358,0,0,0,22.418,0,0.573,7803.71,6,0,0,0,6.072,120.043,11.069,0,441,0,449.302,0,0,27,0,19.132,275.226,153.426,3140.875,1019.689,0,0,0,464.552,674.683,465.516,0,0,0,0,0,0,0,0,6,0,0,14207.94,832.551,46.332,1041.957,106.617,0,1769.943,0.913,4219.35,0,0,0,0,157.901,253,0,0,429.374,0,0,9206.589,0,0,5746.515,0,19.263,1.741,0.44,2,1179.838,52.52,48925.115,1.534,129.341,0,682,0,0,6.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",0,686.052,1464.835,0.013,30.488,3.733,29.615,1336.838,9341.663,4426.835,0,76.36,1361.387,20.87,7.567,3972.628,23.029,0,26.694,88.088,0.358,1838.972,0,0,0,46.133,540.58,22.262,0.846,662.361,0,9.418,1675.807,2.095,0,95.02,9.089,2198.902,3902.967,0,1378.137,4.631,42.479,2.579,0,86.281,1885.015,2349.144,527.254,2909.676,131.972,1307.94,6.021,156.429,668.558,35.264,0,168.742,303.541,4.354,1077.444,65078.835,17.393,84.56,5.317,282.451,0,46.986,28359.73,1695.138,0,0,3025.348,2.31,0,0,89.52,0,0,0,53.467,3516.557,2071.027,45.9,67.945,490.599,161.751,395.847,4828.863,0,108.031,60.816,1989.554,627.969,695.935,45.969,0,2237.923,1182.092,3.125,5.697,556.384,12.347,433.352,0,285.973,481.377,104.442,2.372,9.832,0,912.767,58.964,286.966,2039.91,21.061,113.932,12030.554,28.374,62.09,70.045,655.328,3.354,334.583,26.741,0,0,6960.939,0,0,0,0,8.358,173.955,25.527,0,1013.212,0,423.151,0,898.913,128.961,19.005,54.421,810.127,399.646,12031.858,6814.668,0,0,810.763,4386.856,2307.674,8.699,0,0,0.694,0.27,0,0,6346.935,18.487,183.499,12.457,0,2349.809,1347.855,1685.788,695.16,2118.988,0,1255.13,7.861,15999.931,0,46.875,4.588,0,1946.189,8002.497,0,18.88,2788.795,0,0,226.561,8842.901,1335.262,7820.198,12.95,0.763,1544.957,179.406,10587.134,11451.965,82.353,26767.342,61.109,94.871,11.112,119.19,0,13.697,8.939,0,0,0,0,0,0,49.322,0,2.123,0,0,0,0,0,0,0,0,0,0
"CIV",0,0,0,0,0,0,0,0,0,8.082,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,5.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346,0,0,0,1.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.556,0,0,0,0,0,0,0.274,0.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.133,0,0,0,0,0,0,0.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.956,0,0,0,0,0,0,0,0,1.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0,0,0,0,0,0,0,0.782,0,0,0,0,0,0,0,0,0,0.156,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0,5.024,0,0,0,0,0,0,0.086,503.768,0,53.764,0.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
