"ARG","AUS","AUT","BHR","BEL","BTN","BWA","BRA","BGR","BLR","CAN","LKA","TCD","CHN","HRV","CYP","CZE","DNK","FIN","FRA","DEU","GRC","HND","HKG","HUN","IDN","IRN","IRL","ISR","ITA","JPN","JOR","KEN","KOR","KGZ","LVA","LTU","MYS","MNG","NAM","NLD","NZL","NOR","PAK","PRY","PHL","POL","RUS","SAU","SRB","IND","SGP","SVK","SVN","ZAF","ESP","SWE","CHE","THA","ARE","TUR","UKR","EGY","GBR","USA","URY","COL","ROU","BIH","ETH","LUX","UGA","YEM","ZMB","ALB","BMU","MEX","MDV","DZA","AGO","MMR","ECU","KAZ","PRK","NPL","NGA","QAT","VNM","ZWE","TON","CMR","MAR","NCL","TUN","BFA","CHL","IRQ","KWT","LBN","LBY","MLT","MUS","PRT","SDN","EST","AZE","BGD","KHM","MWI","ISL","OMN","MKD","TZA","BRN","MOZ","LSO","SWZ","AFG","ARM","GMB","UZB","SYC","BHS","BRB","CYM","DOM","GTM","JAM","NER","PER","TTO","VEN"
"JPN",0,8077.41,203.487,0,2781.243,0,0,43.976,0,0,0.079,0,0,77748.226,0,0,1061.575,0,2201.919,322.082,7160.035,0,0,6800.643,1.785,16027.432,0,0,4,11972.378,0,0,0,69772.645,0,0,0,36181.869,0,0,832.202,0,2840.05,0,0,9.16,723.634,2.918,0,0,102.981,14762.681,0,0,2154.719,0,0,0,111.998,0,5.326,0,0,14357.939,12798.623,0,0,0,0,0,0,0,0,0,0,0,27.847,0,0,0,0,0,0,0,0,0,0,11.982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOR",0,0,0,33.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOR",0,4.312,1.584,0,0,0,0,0,0,0,0,0,0,666730.187,0,0,0,669.105,0,0,95830.395,0,0,9635.466,0.841,12.867,0,0,0,5087.602,37005.871,0,0,0,0,21.962,0,137311.958,0,0,0,0,78.862,0,0,606.84,0,24.244,1601.132,0,181.931,12195.733,0,0,0,0,0,0.816,0,0,0,0,0,0,1164.195,0,0,0,0,0,0,0,23.481,0,0,0,0,0,0,0,0,0,0,0,0,0.231,1.504,8.516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285.331,3.153,0.493,1.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KGZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LVA",0,0,0,0,0,0,0,0,0,4.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LTU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYS",0,0,0,0,0,0,0,0,0,0,0,0,0,15647.222,0,0,0,0,0,0,0,0,0,1171.085,3.311,0,0,0,0,148.145,1136.025,0,0,1139.297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.285,0,0,0,0,0,0,1.24,0,0,0,0,10.469,259.166,0,0,0,0,0,0,0,14.398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
