"ALB","ARG","AUS","AUT","BEL","BRA","BGR","CAN","CHN","CZE","DNK","FRA","GEO","DEU","HKG","IRL","ISR","ITA","CIV","JPN","KEN","KOR","KGZ","LVA","MYS","MEX","NLD","NOR","POL","RUS","IND","SGP","ZAF","ESP","SWE","CHE","THA","ARE","UKR","EGY","GBR","USA","JAM","FJI","NZL","SVN","COL","VEN","CMR","IDN","JOR","ROU","SAU","SVK","ISL","FIN","GRC","BFA","HRV","MDG","TUN","TUR","IRN","PHL","LKA","ZWE","COD","MWI","MUS","ZMB","PRT","DZA","OMN","ETH","MHL","PAK","PER","CHL","DOM","SLV","GTM","HND","MAC","LCA"
"CHE",0,0,0,7.638,0,0,0,0,14,4.257,0,1.063,0,84.588,0,0,0,28.882,0,0,0,1670.938,0,0,0,0,23.585,0,0,0,0.639,0,0,0,0,0,0,0,0,9.261,6.888,14.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.321,0,0,0,0,0,0,0,0,0,0,0,0
"THA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.996,0,0,0,0,0,0,0,0,0,0,0
"UKR",0,0,0,0,0,0,0,0,0,72.7,0,0,0,395,0,0,0,6.303,0,44.381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395.251,0,0,0,0,0,0,0,0,0,0,0,0,0,47.692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EGY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GBR",0,0,104.388,0,20.904,0,0,97.089,0,2.381,0,376.403,0,11.958,0,31.943,0,8.014,0,38.835,0,0,0,0,0,0,18.159,160.096,0,0,31.24,0,0,0,0,2.978,0,0,0,3.406,0,337.729,0,0,0,0,0,0,0,0,0,0,42.678,0,0,0,0,0,0,0,0,0,0,1.089,0,0,0,0,0,0.69,0,0,0,1.514,348.293,29.198,6.562,0,0,0,0,0,0,0
"USA",0,0,93.522,4.463,136.454,12.87,0,60.301,3486.093,1159.98,3261.087,356.602,0,5659.795,421.721,133.573,18.768,4993.701,0,108915.44,0,19034.955,0,391.229,27071.853,649.284,1365.684,15,732.589,89,26.331,353.935,40.865,4.307,0,55.662,26,0,279.29,52.6,1087.056,0,0,0,22.675,16.466,0,71.819,0,8.426,0,10.852,3.474,0,12.1,595.384,8.156,0,0,0,0,8.732,0,9.333,0,0,0,0,0,0,0,0,0,0,0,0,5.5,47.115,3.585,10.447,67.037,4.365,3.761,3.254
"JAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NZL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
