"AFG","ALB","DZA","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","SLB","VGB","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","LKA","TCD","CHL","CHN","CXR","COL","COG","COD","CRI","HRV","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","ETH","ERI","EST","FJI","FIN","FRA","PYF","GAB","GEO","GMB","PSE","DEU","GHA","GIB","GRC","GRD","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NLD","CUW","NCL","NZL","NIC","NER","NGA","NOR","MNP","FSM","MHL","PAK","PAN","PRY","PER","PHL","PCN","POL","PRT","TLS","QAT","ROU","RUS","RWA","SHN","SMR","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TTO","ARE","TUN","TUR","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","ZMB","BLZ","KIR","LBR","VUT","PLW","PNG","SOM","SDN","LBY","SSD","KNA","AIA","LCA","VCT","CAF","GNQ","MRT","SXM","TUV","CUB","TKM","SPM","BTN","BRN","COM","DJI","GRL","NPL","ABW","GNB","TON","WSM","YEM","GUM","ATF","COK","ASM","BES","NIU","NFK","STP","IOT","FLK"
"HND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,0,0,26.863,2.692,0,0.425,1.324,3822.341,87.85,0,17.283,1187.572,0.57,599.071,230.556,0,21.627,59.357,3.238,4696.588,8.098,0,1163.504,1120.32,0,4.7,1.106,87.909,872.899,0,0,351.429,0,37.743,115369.394,0,23.12,1.022,8.994,1.132,0.152,0.365,83.609,82.722,231.265,0,272.157,56.56,0.026,0,0,36.563,2.254,44.085,735.53,0,0,12.077,0,288.258,8294.996,0,0,17.645,5.797,93.521,0,76.092,0,0.2,0,2866.481,0.235,1282.23,214.28,0,69.764,18783.295,923.491,101.381,0,1322.805,5.676,0,82.91,0,6391.086,0,0,0,0,0,19.869,156.688,9.237,3918.304,39.437,1930.217,10120.858,0,0,3.811,0,789.536,0,0,0,0,12.628,211.182,0,0.063,15314.782,0,0,230.62,0.149,0,139.266,14.453,0,0,0,2346.917,12.492,3242.188,34.989,158323.417,0,1853.202,198.633,0,4.059,29.223,1304.865,0,0,3.82,115.123,35.737,931.148,0,0.089,56817.255,10982.796,61.721,11533.092,41.755,205.812,412.465,497.234,0,0,1483.838,404.234,0,0,3045.426,6.721,0,0.71,5.79,156.232,130.998,0,88.651,1179.675,0,51.46,3498.555,78.073,2639.317,1.296,45.291,78.36,14.624,24.913,0.248,0.124,0,0,0,2.577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.942,0,0,0,0,0,0,0,0,0
"HUN",0,11.792,0,0,0,0,0.589,1.049,2.088,5077.761,0,0,0,0.234,0,25.18,0.162,0.793,1.573,0,11.119,0,0,494.687,5.071,0,4.1,0,0,0.11,0,0,9.637,0,12.256,130.533,0,19.915,0,0,0.845,406.992,0,259.557,0,16.8,0,1.26,0.494,3.318,0,0,81.676,0,20.001,148.161,0,0,0.067,0,0,4795.678,0,0,4.277,0,0,0,0,0,0,526.621,0,0.161,9.595,0,0,24.143,476.828,147.42,0,0,14.79,0.331,1.372,0,0,8.902,0,0,0,2.44,0,294.879,2.973,2.381,0,0,0,8.022,0,0,0.092,4.965,148.776,0.416,2.198,0.676,0,5.296,0,0,0,2547.58,0,0,1.179,0,0,0,10.99,0,0,0,5.542,0,0,34.602,0,0,2725.03,46.478,0,0.096,1026.86,100.832,0,0,0,2972.702,0,51.942,0,0,4.41,4.814,6597.685,26.648,120.478,7.978,0,833.56,0,0,154.672,258.033,0,0,4.237,0,0,0,1.027,2.345,861.814,0,0,5322.249,1.761,30.69,5967.452,0,412.575,0,2.329,4.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISL",0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,2.987,0,0,0,0,0,0,20.808,0,0,90.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,1.369,0,0,0,2.153,0.156,66.361,213.183,0,0,0,0.28,0,0.006,0,1.402,1.237,0,424.542,0,0,0,2.272,0,15.1,0,0,762.732,0,0,3.005,0,0.073,62237.677,0,67.848,0,0,0.8,0,0,381.917,0,14.507,0,0,0.687,0,0,0,371.877,0,118.836,1980.045,0,0,0,0,0,871.335,0,0,0,0,0,0,0,0,0,8719.418,0.488,0.043,0,0.045,0,147,56.006,2.461,0,0,9306.925,0.042,0,0.529,0,1079.963,7.152,0,0,0,0,8.527,8.078,0.619,0,6.516,0,107.772,0,0,0,0.037,712.939,0,0.324,0,0,28.305,0,0,0.812,4233.561,0,0,14.566,0.739,0,0,69.526,0,0,0,0.366,0.005,0,8.9,2534.974,0,46.854,3.604,3.505,0,0,699.438,0,0,0,0,1.001,16.6,0,0,946.601,2833.03,77.966,167.762,8.611,26.971,0,621.125,0,0,0.108,171.363,0,0,213.778,0,0,0,1.229,0,245.565,0,9.331,1.81,0.764,3.647,1071.237,0,9200.335,0,0.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.093,0,0,0,0,0,0,0,0,0.498,0,0,0,11.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.827,0,0,0,0,0,0,0,0,0,0,0.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,0,0,0,0.448,0,0,0,19.179,12.938,0,0,0,86.918,0,49.697,0,0,0,0,24.781,0,0,1436.987,0,0,0,0,5.249,278.063,0,0,0,0,2.034,2467.791,0,0,0,0,0,2.151,0,287.713,0,14.843,22.639,0,0,0,0,0,0,0,12.768,92.793,0,0,0,0,0,803.724,0.092,0,0.011,38.889,0,0,0,0,0,310.995,16.48,0,4.38,0,0,0,754.388,148.172,0,0,1217.444,0,0,0.094,0,381.576,10.154,0,0,0,0,2.908,1.37,0,2.498,0,0,6.304,0,0,4.198,0,13.294,0,0,0,0,1.122,0,0,0,79.991,0,0,24.557,0,0,0,1.908,0,0,0,0,0,0,0,9.287,0,21.097,2.212,0,0.043,54.835,182.838,0,0,0,0.044,0,4.33,0,0,9.794,31.251,12.515,1.111,68.344,0.501,0,78.937,0,0,23.23,307.842,0,0,0,0,0,0,0.203,0,14.072,0,0.61,6.096,14.154,0,1056.523,0,4193.641,0,0,0,0,0.29,0,0,0,0,0,0,0,0,2.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,0,57,0,0,0,146.824,3.034,0,0,0,0,0,753.148,0,0,0,0,4.675,0,0,1.605,0,0,76.892,0,0,4979.101,0,0,0.071,0,9.268,80.478,0,1.279,0,1,3.813,0.502,2.422,7.348,0,0,0,0.16,1.255,4.568,7.21,0,0,0,49.529,3107.875,0,56,0,0,723.543,2686.749,0,0,0.501,0,13.262,0,0,0,0,53.47,132.423,0.14,4.289,0,0,4.957,0,114.975,0,248.696,1073.172,0,118,0.103,0,169.498,0,0,0,0,0,1.677,0,0,0,0,0,0,0,0,0,0,31.193,0,1.148,0,0,0,0,0,0,220.043,0,0,42.724,0,0,19.424,0,0,0,0,0,0,0,84.581,16.051,0,1.604,0,0,0,15.634,175.181,0,0,0,0,0,0.445,0,0,150.839,279.922,0.471,1.896,0.036,1.648,0,103.095,0,0,17,565.682,0,0,6.957,0,0,0,34,0,6.172,0,17.421,17.049,0.222,0,1624.482,0,56995.669,12,0.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",502.678,744.882,388.737,0,8.881,7.667,1.87,132.963,314.189,9791.739,0,0,107.176,80.522,0.161,7073.978,55.088,18.077,38.33,0,512.756,0,0,479.713,10.415,3.7,126.139,89.088,20.094,1360.339,134.89,0,78.538,0,774.421,7901.806,0,15.506,8.188,19.092,15.671,1227.64,1156.2,4006.079,12.492,210.848,0,239.287,23.726,93.944,26.747,43.579,58.689,0,1888.6,10878.99,6.334,0,18.265,18.496,439.019,11905.549,0,0,1487.611,2.03,12.042,209.917,4.184,12.251,1.269,828.053,4022.668,10.969,61.088,363.675,29.558,1300.649,1247.421,0,2.66,0.399,7164.787,8.604,18.957,50.806,0,64.673,29.286,0,0,15.936,0,27.003,674.02,187.318,0,18.595,0,894.674,0,585.902,3816.966,3.609,325.657,0.636,46.484,8.302,0,523.75,18.476,3.509,1.839,5212.331,0,0,3.264,455.855,1.664,112.016,736.52,0,0,0,22.638,1059.136,5.883,83.916,55.184,0,26088.405,1334.583,0,21.638,3265.868,3968.081,121.705,0,0,82.498,683.811,145.957,0,0,489.645,732.604,825.086,144.832,3968.893,4781.952,0.392,7075.659,0,8.134,2457.895,5025.94,2.233,0,181.427,13.27,0,1.457,186.88,1469.706,2277.056,0,48.53,170.254,48.6,511.286,2526.892,28.781,265974.988,785.327,15.303,10.661,0,2.676,0,0,0,0,0,0,0,5.953,13.404,0,0,0,0,0,0,0,1.39,0,0,1.498,0,0,0,0,0,0,0,0,93.294,24.47,0,0,1.189,0,0,0,0,0,0,0,0,0,0
"CIV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAM",0,0,0,0,0,0,0,0,0,80.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",541.073,0,0,0,0,0,5.071,232.37,1365.321,28293.679,0,0,1496.952,4.965,0,4528.18,0,2.114,9.414,0,6922.422,0,0,1045.88,265.69,1.956,325.507,164.182,3.75,18027.18,0,0,58.849,0,14.399,1208798.107,0,39.4,0,2.267,439.131,3.831,0,17527.58,27.031,241.038,0,252.126,9.821,1.709,97.371,0,601.06,0,1625.185,26032.895,0,0,0,0,0.053,126876.696,19.435,0,13.746,0,0,2.906,0,0,3.018,624896.434,25838.799,16.168,25612.83,5.531,0,1012.417,11665.218,11139.721,0,0,0,108.927,15.595,151.819,0,433088.052,68.873,0,0,369.041,0,93.349,3493.284,17.384,8028.237,0.105,0.015,83026.505,2.343,2.671,1.796,6.167,59284.64,36.11,6.192,32.777,0,563.238,0,0,0,85782.246,0,0,673.051,1.63,21.677,243.246,902.506,0,0,0,633.611,2.071,0.232,18.892,28130.893,0,4716.165,1794.242,0,0,12714.09,2867.514,0,0,0,383.465,297.634,1985.265,0,0,12048.784,32108.179,7395.685,98184.3,1285.654,166.282,13.552,17060.58,0,0,5794.277,14902.487,1.903,0,321287.205,0,0,0,2145.488,1511.447,2232.023,0,17.607,74.89,162.418,26.908,13175.374,0,437625.327,10.748,2.916,2.389,0,140.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.031,0,0,0,0,0,0,0
"KAZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.612,1.713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.601,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,12.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOR",586.693,0,0.646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,401.765,109.496,0,0,0,0,0,0,0,0,0,0,0,0,0,1662.3,60.833,0,0,0,0,0,0,0,0,0,0,0,55.016,0,0,22.818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382.352,0,647.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1476.758,0,0,0,0,0,125.23,41.984,3958.981,0,0,0,0,55.402,0,0,953.717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.331,0,0,0,0,0,0,0,0,0,0,0,0,0,13.275,0,0,0,0,0.05,0.443,0,0,0,0,22.624,3.076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.478,0,0,0,0,22.36,0,0,0,0,25.975,13.714,0,0,0,0,0,0,0,0,0,0,0,4.586,0,12.941,0.074,0,0,0,0,0,24.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.348,0,0,0,88.494,0,0,0,0,0,0,0,0,0,20.143,20.401,0,0,0,0,0,0,0,0,0,0,13.417,0,0,0,848.443,0,0,0,0,462.644,0.611,0,0,0,0,194.957,0,0,0,0,0,0,52.85,0,0,81.258,0,0,0,0,0.093,0,0,0,0,0,0,0,0,0,0,0.177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOR",278.176,0.3,0,8.373,25021.128,0,20.87,38.657,79833.211,4440.098,374.871,0.175,1561.188,0.11,69.448,2484.084,0,0,1231.914,0,3903.86,0,0,551.508,0.114,0,196.603,174.807,0,11743.706,12.05,103.269,113.013,0,35.832,615228.192,0,150.383,0.045,0,21.658,474.342,1.089,1108.97,0,552.403,0,730.395,28.354,4.992,0,0,224.838,0,366.19,662.881,66.542,0,4.393,0,25.152,232508.007,4.187,0,29.137,0,11.024,0,0,0,534.388,133387.924,757.136,0,5576.553,370.884,311.961,109.607,819.005,3358.575,0,0,157891.335,8.571,56.043,0,0,0,13.036,0.301,0,0.344,0,25.065,28.274,10935.801,197.684,0.961,0,4633.886,0,0,1.935,0,14939.431,5.847,0.53,1.451,0,6.141,0,1819.149,45.737,181601.885,1074.141,0,1613.629,992.651,219.717,8.282,668.953,0,0,0,489.443,37.417,0.014,2.658,2228.954,0,5303.099,746.297,0,386.565,302.144,2995.537,0,0,0,314.416,15.22,55.747,0,0,13571.782,6685.234,176.616,663111.605,12141.008,707.605,0,13446.492,0,0,786.617,2634.538,0,1.683,15220.805,0.165,0,0,1498.51,1073.066,9040.429,0,12.917,377.581,0.92,1182.112,3186.359,0.314,1006426.962,0,122.676,157.404,0,0,577.238,1.783,0,0,0,39.95,0,0,0,0,0,0,0,0,2.909,0,0,0,0,0,0,0,0,96.66,0,0,0,0.002,0,0,0,0,0,0,0,0,39.795,0,0,0,0,0,0
"KWT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,47.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.692,0,0,0,0,0,0,1.822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KGZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.566,0,0,0,0,0,0,0,0,0,0,0,0,0,13.816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.013,0,0,0,0,0,0,0,0,0,0,0,0,28.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBN",0,0,0,0,0,0,0,0,0,0,0,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.826,0,0,0,0,0,0,0,0,0,0,2.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218,0,0,0,0,0,0,0,0,0,0,13.087,0,0,4.958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.191,0,0,0,0,246.585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LSO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,41.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LVA",0,0,0,0,0,0,0,0,2.405,0.329,0,0,0,0,0,0.723,0,0,0,0,0,0,0,0,0,0,157.341,0,0,2.107,0,0,0,0,0,109.292,0,0,0,0,0,0,0,0,0,78.223,0,0,0,0,0,0,29.541,0,0.18,0.178,0,0,1.999,0,0,7.323,0,0,0,0,0,0,0,0,0,11.494,0,3.083,1.129,0,0,0,0,0,0,0,0,0.204,0,0,0,0.587,0,0,0,0,0,0,58.96,0.182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.846,0,0,3.523,0,0,0,1.281,0,0,0,0,0,0,0,0,0,31.962,0.974,0,0,0.003,25.842,0,0,0,0,0,0.011,0,0,0.074,0,2.025,0,0,3.865,0,0,0,0,7.972,7.219,0,0,0,0,0,0,1.456,0,15.969,0,0,0.789,0,0,8.531,0,6.256,0,0,0.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
