"AUS","AUT","BEL","BRA","BLZ","BGR","CAN","CHN","CZE","DNK","FIN","FRA","DEU","GRC","HKG","HUN","IRL","ISR","ITA","JPN","KOR","KGZ","LVA","LTU","MYS","MEX","NLD","NOR","PER","POL","ROU","RUS","SAU","IND","SGP","VNM","ZAF","ESP","SWE","CHE","ARE","TUR","UKR","EGY","GBR","USA","VEN","BRN","FJI","IDN","NZL","NFK","PNG","HRV","SVK","CYP","IRN","PHL","THA","TZA","DZA","MAR","TUN","BFA","ALB","GMB","OMN","SCG","CMR","UZB","ECU","LKA","BGD","MUS","PRT","KEN","BLR","SDN","CHL","GHA","LBY","ARG","BHS","BOL","COL","CRI","DOM","SLV","GRD","GTM","HND","JAM","MDA","ANT","NIC","NGA","PAN","TTO","URY"
"SGP",0,0,0,0,0,0,0,23.889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.923,1.5,0,4.972,0,0.884,0,0,0,0,0,0,0,0,3.222,0,0,0,0,0,0,0,0,0,0,0,0,0,3.973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VNM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669.979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ESP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SWE",0,0,0,0,0,0,0,0.851,0,1261.124,4.85,0,1299.688,0,22.474,0,0,0,0,3583.765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHE",0,0,0,0,0,0,0,0,0,0,15.842,0.671,74.283,0,0,0,0,0,1.707,1.902,3.644,0,0,0,0,0,0,33.854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.38,0.988,5.574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UKR",0,0,0,0,0,0,0,11.31,2174.993,219.789,0,0,30.997,0,47.009,0,0,0,9.489,13738.54,1303.012,1.62,9.741,0,0,0,0,0,0,0,0,1383.68,0,0,0,0,0,341.823,0,454.83,0,0,0,0,1859.142,1718.219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2071.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EGY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GBR",190.75,27.474,20.224,0,0,0,0,0,3.338,0,0,48.806,5.613,45.345,22.429,0,45.643,5.955,1.745,56.688,1968.102,0,0,0,87.58,6.645,41.104,0,0,0,0,0,0,64.242,1.078,0,4.937,7.592,81.528,3.502,0,0,0,0,0,376.621,0,0,0,43.736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.329,0,0,0,0,0,1.214,0,0,2.457,0,0,16.572,3.234,22.474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USA",20.327,36,52.977,165.507,0,0,239.761,3217.794,2406.336,3735.733,1370.122,613.338,6436.516,0,64.504,2.872,231.067,6.43,920.889,155525.48,33736.903,0,0,0,13249.6,1023.338,950.967,0,0,1476.91,25,53.351,3.496,972.565,849.593,0,38.55,19.613,13.72,110.601,4.375,16.751,623.439,0,5734.827,0,28.966,0,0,37.901,3.955,0,0,0,0,0,0,10.325,88.455,0,0,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.615,35.319,0,25.856,16.205,3.887,53.395,3.719,153.354,13.677,11.992,373.149,4.504,2.855,3.396,4,7.382,18.582,16.699,4.181,2.875
"VEN",0,0,0,0,0,0,0,27.791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NZL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NFK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PNG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
