"ASM","AZE","ARG","AUS","AUT","BHR","BEL","BRA","BGR","BLR","CAN","CHN","CZE","DNK","EST","FIN","FRA","DEU","HKG","HUN","IDN","IRN","IRL","ISR","ITA","JPN","KEN","KOR","LVA","LUX","MYS","MEX","NAM","NPL","NLD","NZL","NOR","PER","POL","QAT","ROU","RUS","SAU","IND","SGP","SVK","ZAF","ZWE","ESP","SWZ","SWE","CHE","THA","ARE","TUR","UKR","EGY","GBR","USA","VEN","URY","FJI","PNG","HRV","GHA","JOR","PRK","SYC","SCG","ISL","CMR","CRI","MDG","MAR","TGO","TUN","DZA","GRC","PRT","KHM","CUB","ALB","BGD","LKA","PHL","AGO","BOL","UZB","OMN","BRN","BWA","MWI","MOZ","TZA","ZMB","SDN","BHS","CHL","COL","DOM","ECU","HND","NIC","PAN"
"PER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POL",0,0,0,0,0,0,0,0,0,0,0,0,10.766,0,0,0,2.527,0,0,0,0,0,0,0,0,93.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"QAT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RUS",0,0,0,0,0,0,0,0,0.546,1839.5,0,21.924,15.568,65.355,0,0,1.077,5606.964,0,0,0,0,0,1,0,53.837,0,2.7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.128,32.346,0,106.083,68.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAU",0,0,0,0,0,47.454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.067,0,0,0,0,0,0,0,0,0,0,0,0,0,11.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.132,0,4.135,0,0,0,0,0,0,0.78,2997.558,0,0,0,0,0,0,0,2.726,0,0,0,0,0,0,0,0,0,0,0.237,0,0,0,837.408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.199,0,0,0,0,0.19,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SGP",0,0,0,0,0,0,0,0,0,0,0,2.741,0,0,0,0,0,72,0.474,0,23.221,0,0,0,0,25.696,0,0,0,0,3.375,0,0,0,0,0,0,0,0,0,0,0,0,5.148,0,0,0,0,0,0,0,0,13.034,0,0,0,0,464.771,8.015,0,0,0,0,0,0,0,0,0.379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,0,2.029,0,0,0,0,0.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SVK",0,0,0,0,0,0,0,0,0,0,0,0,8.483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.667,0,0,0,3740.717,12.054,0,0,0,0,0,1.361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.338,0,0.927,0,0,0,2.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.892,0,0,0,0,17.785,7.839,0.206,0.747,0.031,0,0,0,0,0,0,0,0,0
