"AFG","ALB","DZA","AND","AGO","ATG","ARG","AUS","AUT","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CYM","LKA","CHL","CHN","CXR","COL","COG","CRI","HRV","CUB","CYP","CZE","DNK","DMA","DOM","ECU","SLV","GNQ","EST","FJI","FIN","FRA","PYF","GEO","GMB","DEU","GHA","GRC","GTM","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LVA","LTU","LUX","MAC","MDG","MWI","MYS","MLI","MLT","MUS","MEX","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","ANT","NCL","NZL","NIC","NER","NOR","FSM","PAK","PAN","PRY","PER","PHL","POL","PRT","TLS","QAT","ROU","RUS","SHN","LCA","SMR","STP","SAU","SEN","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SWZ","SWE","CHE","SYR","THA","TGO","TTO","ARE","TUN","TUR","TKM","UGA","UKR","MKD","EGY","GBR","TZA","USA","URY","VEN","WLF","WSM","YEM","SCG","ZMB","BFA","ETH","AZE","SLB","BDI","GIB","KIR","LBY","MDV","VUT","PNG","SUR","BHS","MDA","NGA","SDN","COD","GAB","GIN","RWA","GUY","UZB","CAF","BEN","GRL","GRD","ABW","VCT","BLZ","MNG","SOM","GNB","CPV","BTN","TCD","MRT","COM","MYT","DJI","LBR","SPM","ERI","GUM","IRQ","AIA","TJK","TKL","PSE","MNP","COK","NIU","TON","MHL","KNA","FLK","TCA"
"NZL",0,0,0,0,0,0,4.247,567.265,9.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.402,0,2.001,0.401,1.608,0,0,0,0,0.181,0,0,5.925,3.665,0,0,0,0.706,0,0,19.316,0.425,6.16,43.482,0,0,9.91,0.273,0,0,0,0,5.931,0.643,2.918,0,0,0,252.38,6.436,0,0,54.838,0,0,0,0,0.187,0,0,5.024,0,0,0,0,0,4.27,0,4.783,0,0,0,5.834,0,0,0,0,0,0,0,20.153,0,10.319,0,0,0,8.49,0,0,0,0,0,55.803,5.589,0.878,0,0,0,0,0,0,0,0,0,0,0,0,19.856,73.099,0,0,0,2.12,0,159.232,0,10.968,19.925,0,2.462,0,0,24.991,0,2.47,0,0,0,0,0,57.608,0,690.151,0.016,0,0,0,0,0,0,0,0,0,0.553,0,0,0,0,0,0,0.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.844,4.028,5.961,0,0,0,0
"NIC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401,0,0,0,0,0,0,0,0,1.709,0,0,0,0,0,0,0,0,0,0,0,0.872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.977,0.012,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.874,0,0,0,0,0,0,0,10.312,0,0,0,0,0,0,0,0.283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NOR",0,0,0,0,0,0,2.528,3.638,10.704,0,0,0,0,29.893,0,0,0,0,69.778,0,0,0,0,0,0,0,4.227,0,0,0.398,143.648,0,0,0,0,5.418,0,0,0.21,6.699,0,0,0,0,0,46.604,0,48.569,140.85,0,0,0,8776.399,0,1.706,0,0,0,24.821,0,19.924,0,0,0,2223.878,4.074,0,0,2.358,0,0,0,0,20.646,0,0,0,0,0,52.902,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,85.247,0,0,0,0,0,0,0,0,0,0,0,0,21.866,0,0,0,0,20.46,0,0,0,0,0,0,0,0,113.846,3.284,0,0.78,0.484,8.851,0,281.038,0,33757.32,51.639,0,0.147,0,0,0.457,0,0.296,0,7.22,0,0,0,1166.565,0.052,130.821,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FSM",0,0,0,0,0,0,0,0.478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAK",0,0,0,0,0,0,0,0.738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0,0,0,0.726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.698,0,0,0,0,0,0,0,0,0,0,0,0,0,10.705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2331.862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.672,0,0,0,0,0,0,0,0,0,0,0.227,0,0,0,0,4.138,0,0,0,0,0,0,0,19.832,2.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.452,0,6.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063,0,0,0.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777,0,0,0,0,0,0,0,0,0,0,0,0,0,17.266,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,3.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PHL",0,0,0,0,0,0,0,148.114,310.667,0,0.512,0,0,3.722,0,0.009,0.116,0,1625.945,0,0,27.4,0,53.2,0,0,3217.013,0,15.011,0,16342.721,0,0.386,0,0,2.24,0,0,1986.742,14.031,0,0,0,0,0,81.187,0,1946.281,3030.859,0,0,0,37597.809,0,0,0.039,0,0,21947.12,969.566,3.798,0.572,0,4.055,45,42.958,0,0,35987.257,0,0,0,0,555.975,0,0,0,0,0,1.699,0,0,0,0,11593.846,0,0,0.038,16087.473,0,0,0,0,0,0,0,25625.463,0,0,187.826,0,0,759.1,0,0,0,0,0.461,0,625.405,1.297,0,0,297.701,264.196,0,0,0,0,0,0,0,0,711.6,5935.188,47.495,7.667,22.703,114.496,0,545.226,0,31.076,75.309,0,1882.795,0,0.033,0,0.008,22.41,0,0,21.854,0,0,450.409,0,70347.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POL",0,0,0,0,0,0,0,1.471,1.068,0,0,0,0,12.571,0,0,0,0,0.975,0,0,5.487,0,9.242,0.262,0,0.163,0,0,0,5.098,0,0,0,0,3.333,0,0,27.901,43.766,0,0,0,0,0,11.056,0,75.621,168.632,0,0,0,113.454,0,0,0,0,0,1.532,45.15,3.311,0.029,0,0.566,3.91,2.828,0,0,2.865,1.41,0,0,0,6.983,0,0,0,0.099,8.181,31.928,0,0,0,0,0.317,0,0.03,0,0.816,0,0.08,0,0,0,0,0,54.877,0,0,0,0,0,4.566,0,0,0,0,0,0,0,0.092,0,0,7.337,53.419,0,0,0,0,0,0,0,0,1.272,1.574,16.919,0,0.092,0.005,0,8.131,0,24.558,1.772,0,0,0,0,0.132,0,10.479,0,0,115.286,0,0,7.878,0,226.245,0,0,0,0,0,3.79,0,0,2.371,0,0,0,0,0,0,0,0,0,0,0,0.786,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRT",0,0,4.181,0,47.39,0,0,0.539,221.136,0,0,0,0,1.258,0,0,0,0,7.726,0,0,6.315,0,0,0,0,0.132,0,0,0,0.826,0,0,0,0,0,0,0,0.066,0,0,7.111,0,0,0,0,0,0.03,22.899,0,0,0,80306.509,0,0,0,0,0,3.275,0,0,0,0,0,0.149,15.245,0,0,0,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.738,0,280.386,1.63,0,0,0,0,481.168,0,0,0,0,0,0,0,0,0,0,0,0,0.849,0,0,0,0,0.247,0,0,0,0.597,0,0,0,0,0,0,0.455,0,73.22,0.005,0,2324.835,0,0,21.661,0,0.348,0,0,0,0,0,0,0,0.605,0,0,1.052,0,5.803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.123,171.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TLS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"QAT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978,0,2.741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0.938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.286,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROU",0,0,0,0,0,0,0,1.894,0.109,0,0,0,0,19.418,0,0,0,0,0.499,0,0,1.578,0,0,0,0,4.705,0,0,0,213.176,0,0.129,0.476,0,0.448,0,0,19.084,1.568,0,0,0,0,0,0,0,0,35.604,0,0,0,1434.23,0,0.029,0,0,0,205.606,508.048,0,36.656,0,7.391,11,411.891,0,0,441.343,0.134,0,0,0,185.297,0,0,0,0,0,0,0,0,0,0,3.951,18.361,0,0,10.051,0,0.237,0,0,0,0,0,168.089,0,0,0,0,0,0.058,0,0,0,0,0,92.379,0.958,1.369,0,0,0,241.127,0,0,0,0,0,0,0,0,0,175.1,0,0,0,0,0,277.647,0,0,0.397,0.012,0,0,0,0,0,0.496,0,0,3.746,0,0,1.74,0,1102.431,0,0.124,0,0,0,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RUS",0,0,1.647,0,1.665,0,0.671,80.443,206.009,0,0,19.505,0,0,0,0,0,0,0,0,0,5.711,0,399.5,0,0,6.12,0,0,0,1615.384,0,0,0,0,0,16.389,4.282,487.971,0.798,0,0,0,0,0,0.26,0,4.833,25.607,1.872,7.762,0,6072.939,0,0,0,0,0,329.116,49.143,0,0,0.011,1770.585,100.234,53.668,0,0,11.344,103.337,0,14.61,0,71.898,0,27.576,0,0,0.38,26.889,0,0,0,0,0,0,175.265,0,5.505,0,0,0,0,0,0,0,2.581,0,0,0.005,0,0,0,0,0,0,0,0,0,15.344,0,0,0,3.074,0,0,0,0,0,0,0,0,0,13.275,15.454,2.076,175.226,1.095,30.558,0,373.404,0,15.653,12.385,0,0,0,0,0,0,3.538,5.368,0,1958.849,0,0,67.497,0,773.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.153,0,0,0,0,0,0,0,34.634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SHN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,0,0,2.486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.526,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,1.436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.887,0,0,0,0,0,0,0.499,0,0,0,0,0,0,0,0,0,0,0,0,0,0.989,5,0,0,0,0,0,294.68,0,0,0,56.933,0,0,0,0,0,0,0,0,0,0,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,2.497,0,0,0,0,0,0,0,0,0,0,0,41.715,0,0,0,0,4.249,0,0,0,0,0,0,0,0,0,0,0.141,0,0,0,0,0,0,0,0,0,0,0,0.268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.617,2.656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.9,0,0,132.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SYC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLE",0,0,0,0,0,0,0,51.091,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IND",364.103,0,0.306,0,0,1.241,0.108,194.831,682.879,1.622,180.5,0,0,97.479,0,0,0,156.214,36.472,0,0,5.221,0,0.3,0,0,189.907,0,1972.77,14.225,3113.755,0,19.802,0,0.876,0.708,0,0,4.103,0.048,0,0,0,0,0,0,2.053,33.644,2827.126,0,0,0,71704.906,1.382,1.946,4.235,0,0,157.239,54.31,3.182,297.302,0,8.377,25.835,3384.877,0.131,1.176,578.368,0,4.016,826.434,0,938.677,25.25,0.188,0,0,0,0,0,0,0.691,22.252,85.582,147.001,0,0.804,293.257,0,160.928,0.753,6.743,0,0,815.112,46.179,0,0,173.323,0,0,133.765,0,17.497,8.929,0,1.373,242.048,7.459,0,0,2.843,21.404,16.316,0,0,0,0,26.95,93.797,0,26.524,0,376.879,3.07,4.113,53.127,562.565,0,4054.809,0,136.09,96.213,2.525,66.746,0,0,832.674,201.477,216.266,0,181.01,0.215,0.127,158.686,1019.892,29.407,7213.095,0,0,0,0,0,0,742.544,0,0.878,0,0,0,0,0,0,1.796,0,0,0,0,0,3.876,1228.366,0,0,0,0,0,0,0,0,0,0,0,0,0,74.402,0,0,0,697.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.955,0,0,0
"SGP",0,0,0.106,0,0,0,7.463,1183.789,30.623,0,40.695,0,0,28.221,0,0.138,0,0,557.474,0,0.821,4.646,2.749,0,148.195,0,764.626,0,99.476,54.411,22066.032,0,0,0,0.015,0.367,0,0.052,87.831,6.35,0,1.273,0.001,0.011,0,361.663,0,388.752,605.692,0,0,0,6490.96,0,0,0,0,0,81116.555,1464.54,0.238,3053.186,76.112,40.714,191.794,17.5,0,0,28318.429,0.268,0,36.151,0,12315.523,0.007,0,0,0.581,0,0,95.395,0,0.3,0,37629.335,0,0.772,7.122,651.174,0,1.636,0,0.548,0,0,0,125.573,0,0,69.241,0,0,44.349,0,94.206,0,0,0.026,2606.054,59.127,0.182,0,0,11.573,30.983,0,0,0,0,0.031,0,1.807,0,2035.556,0,154.014,3835.324,47.767,51.852,0,187.841,0,48.075,609.742,4.33,16644.921,0,0,5.235,1.034,52.345,0,0,227.073,0.008,4.433,351.042,0,11364.321,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.535,0,67.369,0,0,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SVK",0,0,0,0,0,0,0,0.08,3.94,0,0,0,0,7.316,0,0,0.175,0,21.503,0,0,0,0,0,0,0,0.018,0,0,0,2.749,0,0,0,0,0,0,0,286.581,0,0,0,0,0,0,5.149,0,0.252,34.867,0,0,0,225.853,0,0,0,0,0,2.257,9.018,0.464,0.278,2.733,0,0.454,20.914,0,0,2.826,0,0,0,0,2.629,0,0,0,0,0.255,0,0,0,0,0,3.429,0,0,0,0.217,0,0,0,0,0,0,0,0,0,0,0,0,0,1.652,0,0,0,0,0,0,2.151,0.037,0,0,0.393,5.038,0,0,0,0,0,0,0,0,0.063,0.262,0,24.06,0,0.293,0,0.021,0,1.044,3.516,0,5.097,0,0,1.46,0,4.227,0,0,0.201,0,0,58.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
