"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","CXR","CCK","COL","COM","MYT","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","ERI","EST","FLK","FJI","FIN","FRA","PYF","DJI","GAB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","BES","NCL","VUT","NZL","NIC","NER","NGA","NIU","NOR","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","GNB","TLS","QAT","ROU","RUS","RWA","BLM","SHN","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TON","TTO","ARE","TUN","TUR","TKM","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","PSE","KIR","SSD","GMB","ATF","SPM","LSO","FSM","PLW","BTN","WLF","MNP","MHL","NFK","PCN"
"GEO",0,0,0,0,0,0,0,101.337,0,1.364,0,0,0,0,32.469,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0,11.316,0,0,0.097,0,0,0,0,0,0,0,0,0,0.615,0,0,0,0,0,0,0,0,0,0,0,0,0,4.835,0,0,0,0,33.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.061,35.283,7.19,0,5.462,16.918,0,0,5.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.009,0,0,0,0,0,0,0,0,0,4.391,7.038,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,1.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.98,0,0,0,0,5.834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.997,0,0,0,0,0.025,0,171.066,0,0,0,0.786,0,8.81,0,0,78.236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",19690.286,188.358,722.763,0,55.955,202.185,13.545,279.625,10957.029,19472.47,106520.959,14.746,284.243,235.698,348.26,8.69,108313.086,0.487,219.289,528.69,17.246,23423.36,9.719,0,45.826,137.031,20504.786,698.071,50.432,3035.189,240.288,75.158,17288.488,2.576,17.231,0.366,569.475,14.354,3411.936,398296.159,0,0,2366.424,0,4.524,13.94,79.376,0,149.481,2664.437,289.842,886.403,38311.252,13.305,23300.976,0.568,52.551,291.014,116.86,11.857,373.686,0,4920.646,0,34.392,18367.247,87673.854,21.691,5.262,73.776,700.447,0,43.917,6.593,5709.964,3.954,1.771,0,129.088,49.928,7.229,1.735,66.106,29654.058,51964.544,415.564,3792.233,1535.97,1228.573,4446.206,9794.888,98172.845,43.523,18.589,74699.812,5806.139,783.49,319.07,2.046,38963.576,1116.469,83.697,1281.063,501.868,1789.903,1.159,492.931,3621.994,10063.079,28.857,74.534,4.526,123732.226,55.392,28.819,997.224,43.514,142.446,26267.317,205.343,112.308,142.689,0,927.158,319.041,1117.427,76.014,0,3.525,166024.573,13.282,1.034,2.007,0,39.618,6.945,2911.602,72.432,3.52,2128.146,0,18155.585,2008.857,193.474,3.73,235.633,880.113,2705.279,73747.766,9131.096,0,0,1995.45,18634.708,90685.106,70.826,0,0,0,0,5.872,0.806,6.675,0,9932.319,32.262,2510.67,6.736,7.084,23651.897,23659.834,25443.475,3071.944,3964.895,27.566,19893.637,25.671,75490.321,174.154,0.239,0,35322.07,91424.131,27.178,45.855,12993.88,1.808,0,0,83.854,10743.178,428.49,38893.971,206.417,0,26.634,4999.059,582.55,3440.457,230239.349,112.692,452520.926,34.145,231.277,145.019,1249.266,0.812,193.039,105.941,12.304,0,1.991,117.328,0.491,0,0,0,0,34.256,1.27,0,0,0,0
"GHA",0,0,0,0,0,2.41,0,0,0,0,0,0,0,0,0,0,2.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098,0,0,0,0,1.557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.665,0,0,0,0,0.102,0,0.096,0,0,0,58.473,0,4.655,0,0,0,0,0,0,0,0,5.435,0,0,0,0,0,0,0,0,0,0,0,0.484,0,0,3.421,0,0,0,0,0,0,0,0,0.846,0,0,0,0,0,0,0,0,0,2.553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.101,0,0,1.166,0,0,0,0,0,0,8.276,0,0,0,0,0,1.842,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,12.117,0.214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,159.419,145.03,0,0,0,0,0,0,28.294,10.015,0,0,3.605,0,0,0.247,0,0,0,0,35.051,0,0,0,0,564.003,0,0,0,0,31.212,5.864,0,0,0,0.282,0,0,5.97,0,0,0,0,0,0,0,0,0,9.365,0,871.408,0.088,0,23.092,0,0,1.395,2.639,0,0,0,0,0,0,0.255,358.906,0,0,0,0.196,130.484,3.441,0,0,0,0,0,0,0,0,0,0,7.638,0.335,7.544,0,0,0,0,128,328.654,0,0.03,31.7,0,28.613,9.78,0,0.252,12.149,0,0,0,2.294,0,0,0,0,0,0.922,0,0.619,0,0,1.692,0,0.402,241.556,0,0,0,0,0,0,0,0,0,0,14.193,0,0,0,0,2.003,0,0,0,0,152.066,0,9.703,0,0,0,0,0,0.556,13.827,60.573,0,0,9.454,994.042,9.394,0,0,0,0,0,0,0,0,0,10.093,0,11.932,0,0,4.36,0,0.194,0,6.055,0,0.169,0,34.946,0,0,0,3.864,24.708,0,0,0.053,0,0,0,0,17.796,19.012,29.252,0,0,0,0.047,37.563,28.501,80.793,0,131.652,0,0,0,0,0,0,3.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.754,0,0,0,0,0,0,0,0,0,5.19,0,2.264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239,0.255,0,0,0,0,0,0
"GTM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.674,0,0,0,0.72,0,0,0,0,0,29.018,0,0,0,0.239,0,0,0,15.835,0,163.796,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,52.639,5.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.862,0,0,0,0,0,0.096,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.667,0,0,0,0,0,0,0,0,0,0,0,0.511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977,0,0,0,0,0,0,0,0,0,4.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUY",0,0,0,0,0,0,0,0,0.161,0.026,0,0,0,0,0,0,2.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423,0,0.107,0,0,0,0,0,0,0,0.77,0,0,0,0,0.122,0,0,0,0,0,0,51.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.296,0,0,0,0,0,0,2.632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,18.246,0.733,0,0.195,9.18,0.002,66.484,108.952,7298.913,427.289,0,1.869,396.461,1.638,4.148,1702.915,13.848,34.796,8.349,16.358,6086.268,0.114,0,0,54.706,490.431,228.297,4.255,2.528,1151.89,0.326,2656.35,0,0,1.53,168.006,44.327,413.433,23250.704,0,0,986.151,0,0,0,0,0,131.112,347.026,8.856,514.987,828.498,2.73,642.978,0,231.933,296.525,10.254,0,70.881,0,175.412,0,30.65,1031.506,19398.578,12.607,0,0,221.14,13078.008,184.56,28.823,465.001,0,0,10.761,195.329,0,0,0,0,0,3438.709,10.019,5646.484,110.149,88.746,482.276,6426.931,2886.593,17.043,368.911,157073.337,29.812,18.669,60.273,0,18968.958,0.617,2.949,0,77.463,650.688,0,521.137,10.144,220.77,2756.778,1.691,0.118,4559.309,42.74,0,806.697,0,37.938,969.952,109.628,0.833,14.893,0,170.129,1.35,160.924,17.909,0,180.885,80213.796,0,63.024,0,0,26.07,15.508,146.505,12.684,0,539.394,0,579.594,51.929,4369.307,42.143,13.115,139.022,413.198,1862.953,815.617,0,0,4.284,95.716,6246.993,9.232,0,0,0,0,19.97,0,0,7.744,151.276,2.46,13.059,5.26,2.031,11711.247,6141.933,5352.024,120.292,16.073,8.904,1118.366,86.083,7050.442,9.182,6.879,0,2224.457,3193.698,15.588,0,7305.369,0,0,0,128.811,73.456,36.57,930.713,0,0,63.768,37.319,14.57,250.286,27566.717,37.874,18842.902,11.979,234.031,3.168,266.625,0.699,0,1.05,0.021,0,0,0,0,0,0,14.65,0,0,0,3.108,13.14,0,0
"HUN",0,15.705,31.658,0,16.236,0,0,7.466,2674.183,1706.093,7147.16,0,107.822,0,2.684,0,2765.192,0,2.418,244.661,0,318.275,0,0,0,0,440.925,0,0,1.465,0,0,910.528,0,0,0,0,0,886.057,2239.87,0,0,23.029,0,0,1.493,0,0,11.8,668.034,0,48.959,2401.286,0,421.366,0,0,0.375,0,0,0,0,92.539,0,0,367.092,23272.413,4.764,0,0,22.48,37331.322,5.589,0,152.746,0,0,0,0,11.611,0,0,0,67.483,0,1.867,0.574,0.081,19.69,47.627,286.446,2191.127,3.988,0,1889.754,38.562,44.635,9.726,0,590.605,23.257,0,0,194.967,265.127,0,0.079,44.34,96.667,0,0,0,35.752,6.131,1.601,311.073,0,0.113,3583.736,0,8.788,48.853,0,0.331,0,76.137,0,0,0,14106.003,0.221,0,0,0,25.908,0,25.36,0.424,0,40.227,0,401.132,121.716,0,0,0,113.881,0,4059.035,1145.001,0,0,341.748,6440.281,1257.612,0,0,0,0,0,0,0,0,0,276.036,0,489.932,0,0,115.501,167.371,3954.759,25.254,641.008,0,63.969,10.016,2890.372,0,0,0,1124.569,1434.698,0,0,160.224,0,0,0,0,3166.097,2.388,2664.536,9.324,0,0,2667.898,41.615,33.632,11511.632,0,2723.893,0,209.266,0,1.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISL",0,0,0,0,0,0,0,0,0.092,45.04,0,0,0,0,0,0,4.332,0,0,0,0,4.467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.334,0,0,0,0,52.986,0,0,0,8.147,0,0,0,0,0,0,0,0,0,0,0,0,0,4.045,1,1.434,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,1.452,0,0,0,0,1.223,0,0,0,0,0,0,94.86,0,0,0,0,0.021,0.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.285,0,0,0,1.996,0,0,0,1.694,0,0,0,0,0,0,3.441,0,0,0,0,0,0,12.904,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0.969,137.355,0,0.379,0.028,0,0,789.628,1199.611,80.272,0,0,15.388,5.404,7.401,739.342,0,8.07,11.153,0,3749.093,0,0,0,8.538,0,0,0,41.445,0,0,460.975,0,0,0,97.113,0,17.917,1951.246,0,0,584.832,0,0,0,0,0,68.781,1.35,0,0,813.238,0,9.15,0,0.009,104.609,25.938,0,0,0,21.307,0,6.303,209.111,5387.975,25.285,0,0,0.051,2825.838,0,0,0,0,0,0,52.417,0,0,0,0,608.34,6179.295,0.264,0,10.301,0,11.536,73.528,212.405,1.624,0,28729.554,0.043,1.158,0,0,5167.049,0,0,0,7.315,0,0,0,0,0.191,0,1.846,0,1878.325,1.108,0,0,0,224.42,2870.317,0,8.234,6.88,0,23.076,0,0,0,0,0,447.044,0,0,0,0,5.874,0,2511.889,25.301,0,41.67,0,259.288,0.017,0,0,1305.515,160.351,41.717,10748.786,69.006,0,28.137,0.178,0,1456.521,0.806,0,0,0,0,0,0,0,0,0,0,25.266,0,0,324.899,28527.993,1216.819,571.209,26.225,0,432.373,0,287.627,0,0,0,6.535,1112.594,0,0,88.455,0,0,0,5.974,7.79,228.814,1257.5,0,0,0,208.181,2.645,246.275,560.205,0,14445.892,0,40.595,0,144.052,0,0,0,2.317,0,0,0,0,0,0,0,0.034,0,0,0,0,0,0
"IRN",0,0,0,0,0,0,0,0.35,0.046,14.449,14.439,0,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.03,0,0,0,0,0,0,0,0,0,0,0,0,0.972,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66,0,0,0,1.016,4.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0.518,0,69.772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.617,0,0,0,0,0,0,0,6.807,0,1.399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146,0,0,0,0,0.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,0.265,0.17,0,1.899,0,0,2.459,32.783,1902.752,613.799,0,1.197,0,2.209,8.795,3563.064,0,0.177,34.252,0,4930.369,0,0,0,0,287.47,0,0,2.2,0,7.748,55.308,0,0,0,0.41,0,0,2305.101,0,0,29.866,0,0.288,1.306,0,0,6.884,23.692,0,0,77.031,0,1441.791,0,0,0.011,0,0,0.013,0,62.88,0,0,311.035,11075.509,0.455,0,0,0,5660.85,0,0,165.268,0,0,0,0.1,0,0,0,0,232.589,94.14,6.615,5.312,0.119,0,0,1173.473,6269.347,6.021,0,4241.202,70.248,12.662,17.205,0,303.014,6.844,1.531,0,2.227,0,0,2.636,2.5,231.442,0,0,0,346.381,0,0,0,0,19.416,93.237,0,7.194,0,0,4.146,0.478,9.647,0,0,0,4493.679,0,0,0,0,3.621,0,509.088,0,0,7.437,0,924.433,29.621,0,0,0,13.571,1.876,145.594,87.043,0,0,44.257,1619.127,521.448,3.681,0,0,0,0,0,0,0,0,279.056,0,81.055,0,0,986.301,3891.147,29.727,377.571,153.914,0,135.155,108.716,2011.48,0,0,0,2230.885,1688.804,0,0,354.607,0,0,0,0,486.082,2.676,392.855,0,0,30.3,53.642,7.865,14.332,41319.764,0,5779.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,76.789,0,0,8.538,314.143,0,191.322,3227.512,13787.743,790.506,0,0,2.383,59.619,2.61,318.689,12,5,0.288,2.711,3400.49,0,0,0,0,444.638,0,0,28,0,0,1358.303,0,0,0,19.869,0,1363.062,9585.068,0,0,1005.234,0,0,0,0,0,28.968,4,0,85.545,687.465,0,24.06,0,0.39,448.436,1,19,268,17,359.869,0,0,50.053,1877.465,3.945,0,105,202.841,5035,839.171,0,452.438,0,0,0,0.731,0,0,0,0,3195.176,651.321,1.89,0,0,0,135.958,0,11246.242,1.969,12,1576,146.245,117.976,67.978,0,13492.908,0,0,0,0,14.08,0,0,134.236,9.697,3,0.129,0,1,60.474,0,4,0,102,920.069,1.387,4.699,0.514,0,0,0,0,7,0,0,8693.754,0,0,0,0,54.126,0,597.178,3.748,0,191.248,0,730.419,0,11,0,2.006,148.972,140,1818.553,870.174,0,0,0,183.422,919.634,0,0,0,0,0,34.595,1,0,0,0,8,24.9,0,0,8064.22,2148.784,62.057,567.216,312.167,0,2016.527,17.248,2389.284,295,0,0,374.302,1219.196,0,0,2303.927,0,0,0,72,3,0,8565.145,0,0,1.731,149.891,1552.31,0,4634,13.769,54286.719,0,16.58,56,40.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",0,868.164,1164.169,0,1.174,103.501,8.772,119.289,466.297,3546.908,4855.355,0,58.517,1590.103,476.545,8.524,8716.233,0,6.978,77.479,0,3805.44,0,0,0,50.455,383.514,23.878,4.242,762.169,0,325.711,2486.871,2.275,0,4.242,35.175,0,1175.723,3192.915,0,0,943.168,0,0,793.189,39.832,0,91.569,1389.408,1228.874,600.724,3170.333,11.116,894.238,0,175.978,450.241,18.781,739.331,79.641,0,427.214,0,3.434,1065.466,57812.06,53.513,21.26,9.278,367.393,29325.006,59.137,0,2360.636,62.349,0,0,56.818,98.352,9.586,0,11.174,2848.674,5382.538,77.054,269.582,100.984,1788.839,252.073,2321.981,0,62.484,53.239,1677.327,426.65,330.489,237.77,0,1440.711,1501.326,24.149,0,761.19,455.851,2.338,635.326,506.533,387.992,0,8.422,3.811,1681.298,4.375,73.367,338.398,0,109.041,2754.615,2.934,41.855,6036.85,0,1302.731,103.145,345.859,5.432,0,0.345,4681.192,56.061,0,0,0,14.181,0,105.755,11.245,0,687.237,0,570.541,811.401,22.017,0,92.284,309.317,94.457,11798.43,3662.292,0,0,2026.902,7372.973,5584.683,0,0,0,0,0,4.66,0.213,0,0,10212.695,83.685,369.742,0.44,0,4057.724,1710.349,2724.834,96.525,1169.807,0,4560.711,2.072,14093.311,0,0,0,4253.759,4803.9,21.558,0,461.74,0,0,0,15.505,4553.2,582.536,4064.701,0,0,0.23,2187.938,67.41,1892.668,11577.006,33.667,12782.126,7.521,72.636,6.443,76.712,0,0,2.402,16.889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CIV",0,0,0,0,0,0,0,0,0,0,1.266,0,0,0,0,0,0.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.664,0,0,0,0,0,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.53,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.826,0,0,0,0,0,0,0,0.961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
