"DZA","AZE","ARG","AUS","AUT","BHS","BGD","ARM","BRB","BEL","BOL","BIH","BRA","BLZ","BRN","BGR","MMR","BLR","CMR","CAN","LKA","CHL","CHN","COL","CRI","HRV","CYP","CZE","DNK","DMA","DOM","ECU","SLV","EST","FIN","FRA","GEO","DEU","GIB","GRC","GTM","HTI","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KEN","PRK","KOR","KWT","LVA","LBR","LTU","MAC","MDG","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MDA","MAR","NLD","ANT","NZL","NOR","MHL","PAK","PAN","PER","PHL","POL","PRT","QAT","ROU","RUS","LCA","SAU","SEN","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SWE","CHE","SYR","THA","TGO","TTO","ARE","TUN","TUR","UKR","MKD","EGY","GBR","TZA","USA","URY","UZB","VEN","SCG","ZMB","AGO","KHM","FJI","PYF","KIR","MWI","MOZ","OMN","NCL","NFK","PNG","TON","UGA","WSM","GHA","HND","LBY","COD","BEN","GAB","GMB","LBN","NGA","RWA","SDN","GUY","NIC","PRY","KAZ","JOR","GRL","AFG","AND","CAF","TCD","COM","GNQ","ETH","DJI","GIN","NER","GNB","SPM","BFA","ALB","BHR","CUB","ERI","MNG","NPL","SUR","CPV","COG","SLE","BTN","SLB","FSM","SOM","BDI","ABW","COK","NIU","IRQ","AIA","GRD","VCT","SYC","TKM","YEM","ATG","BMU","VGB","CYM","PLW","KNA"
"PRT",0,0,8.209,0,0,0,0,0,0,33.256,0,0,4.976,0,0,0,0,0,0,1.555,0,0,0,1.274,0,0,0,0,0,0,0,0,0,0,0,11.547,0,59.594,0,0,0,0,0,0,0,0,0,0,2.205,0,0,0,2.469,0,0,0,0,0,0,0,0,0,4.335,0,0,0,0,0,1.98,0,0,5.553,0,0,2.68,0,0,0,0,0,0,0,0,30,0,0,0,0.817,0,0,0,0,0,0,0,1.762,56.271,0,0,0,0,0,0,0,0,0,0,0,0.504,0,11.421,0,0,0,0,0,11.612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"QAT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RUS",0,0,9.246,771.321,61.718,0,0,270.887,0,4.979,0,0,0,0,0,0,0,290.399,0,21.18,0,0,46.792,0,0,0,0,1688.969,0,0,0,0,0,0,0,15.72,0,589.51,0,0,0,0,0.701,0.826,0,0,0.569,0,12.297,73.215,0,0,45.732,49.527,0,13.357,0,7.811,0,11.276,0,0,0,0,0,0,0,0,19.013,1.013,0,2.922,0,0,0,0,0,0,0,0,52.134,8.533,0,0,0,0,0,0,152.817,0,15,0,0,15.192,0,550.436,4.004,5.84,0,0,0,0,0,0,0,81.813,0,0,23.14,0,284.972,0,0,0,6.326,0,1.738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.939,0,5.344,0,0,0,0,0,0,0,0,0,0,0,0,0,3.603,0,0,0,0,0,0,0,0,0,0,0,0
"LCA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAU",0,0,0,0,2.591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.006,2.82,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IND",0,0,0,196.722,101.225,0,81.675,0,0,0,0,0,0,0,0,0,0,0,0,90.596,8.505,0,0,14.499,0,0,8.031,0,1.296,0,0,0,0,0,0,32.57,0,370.039,0,20.316,0,0,246.09,7,0,0,0,4.519,15.107,885.106,0.745,0,0,568.419,0,11.229,0,0,0,0,0,0,7.926,4.561,0,0,0,13.716,7.54,0,0,0,0,6.396,0,0,0,0,67.91,0,0,0,0,1,0.618,0,9.814,186.323,0,243.019,0,10.051,0,42.133,0,1635.542,0,33.536,87.816,16.682,0,0,380.472,0.748,0,0,0,0,193.407,0,3944.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.662,0,0,0,0,0,0,0,0,1.146,1.719,0,6.291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.661,0,0,0,0,0,60.448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SGP",3.05,0,104.625,971.2,26.38,0,13.112,0,0,193.142,0,0,342.977,0,1.889,3.542,11.661,0,0,2296.767,4.114,2.85,1656.361,1.66,0,0,2.328,70.024,32.773,0,39.689,0,0,2.428,250.942,122.534,0,3318.727,0,0,0,0,7764.082,92.083,0,139.485,33.208,60.355,78.717,9.337,0,0,1127.369,73.481,0,4722.744,3.158,0,0,0,0,0,36108.11,20.217,0,3.735,0,11.047,1582.006,0,0,62.252,0,133.719,80.86,0,28.362,0,0,4832.212,108.15,1.252,0,4.8,7.684,0,0.699,0,751.009,0,0,384.651,0.554,190.6,32.674,104.538,26.92,21.686,9.007,7151.337,0,0,226.403,0,47.502,0.809,0,7.96,282.013,0,34231.351,0,0,0,1,0,0,11.872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08,0,0,0,0,0,0,0,0,0,0,1.319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SVK",0,0,0,0,1.376,0,0,0,0,3.879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.452,0,68.819,0.852,0,0,0,0,0,0,0,0,170.728,0,0,0,0,0,27.772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,82.406,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,2.892,16.496,0,0,0,0,0,0,0,1.28,0,0,1.305,0,2.802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VNM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SVN",0,0,0,0,248.328,0,0,0,0,0,0,8.022,0,0,0,0,0,0,0,6.108,0,0,0,0,0,65.291,0,2.695,0,0,0,0,0,0,0,0,0,39.593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14,0,0,0,0,0,0,0,0,0,0,1.702,0,0,0,4.77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZAF",0,0,0,22.859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.272,0,0,0,0,0,8.454,0,0,0,0,0,0,0,2.377,0,4.064,0,0,0,0,0,0,0,0,0,1.114,18.681,1.025,0,0,0,13.023,0,0,0,0,0,0,0,72.966,0,0,0,0,0,9.896,0,0,0,8.669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.258,3.222,5.366,0,0,0,184.069,0,0,23.559,0,0,0,0,0,0,0,0,0,0,27.378,36.422,2.475,0,0,0,0,13.822,1.119,0,0,0,0,2.572,15.411,0,0,0,0,0,0,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZWE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.578,0,0,0,0,0,0,0,0,0,0,0,0,3.26,0,349.965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ESP",142.528,0,102.884,813.355,25.748,0,0,0,0,149.62,673.465,0,137.718,0,0,0,0,0,0,18.306,0,21.463,46.453,313.837,11.489,7.122,29.992,22.448,7.562,0,120.897,510.234,0,0,14.05,850.455,0,4805.642,0,17.827,1.352,0,169.79,21.447,0,0,0,8.006,69.219,856.944,2.446,0,299.019,0,0,0,0,0,0,0,0,0,0,0,0,1.308,3.521,0,49.211,0,677.718,1227.74,0,0,395.23,0,0,97.259,48.056,79.934,59.476,1001.468,0,2.973,10.594,0,12.587,2.175,0,0,0,0,0.767,44.194,0,0,96.768,1824.72,0,0,0,0,0,2035.725,83.3,2.09,0,0,2159.61,60.5,1890.928,43.962,0,36.02,0.923,0,0,0,0,24.481,0,0,0,0,0,0,0,0,0,0,1898.893,0,0,0,0,0,0,4.633,0,0,0,0,0,0,0,0,0,0,2.369,0,0,0,3.155,0,0,0,0,0,0,57.01,0,0,0,0,0,3.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SWE",15.159,0,18.923,9.724,166.125,0,0,0,0,452.056,0,0,133.06,0,0,0,0,0,0,2290.485,0,9.043,18.734,64.64,0,1.888,0.952,2.431,2894.883,0,0,1.903,0,8.4,3533.226,1498.244,0,1729.551,0,1.258,0,0,361.386,17.666,3.428,61.802,7.3,51.356,39.545,1452.253,0,0,623.667,3.033,0,0,0.881,0.764,0,16.391,0,0,7.77,0,0,0,0,0,33.264,0,0,369.461,0,4.792,906.956,0,0,0,0,0,26.182,1.809,0,2.392,15.341,0,1.494,0,14.95,99.315,5.786,0,1.762,737.18,0,49.968,0,1700.864,0,1.943,0,0,40.909,1.132,4.609,2.605,0.881,0,1069.349,1.406,15602.82,5.014,0,1.84,0,1.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.629,0,0,0,0,0,0,0,0,0,0,0,0,0.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHE",4.578,0,2.872,64.518,294.862,0,0,0,0,218.08,3.94,0,32.121,0,0,10.585,0,16.109,1.738,131.801,492.394,4.406,68.474,3.168,1.596,35.127,0,60.017,184.716,0,0,6.551,0,4.073,32.818,508.838,0,2716.56,0,11.102,0,2.687,34.454,72.194,0.573,6.879,11.66,0.707,29.217,337.599,2.255,0,105.965,39.989,0,194.962,0,0.522,0,0,4.003,3.111,90.085,0,6.803,18.349,0,0,26.289,0,12.078,121.392,0,2.531,47.108,0,0,0,56.68,3.089,101.464,16.294,0,11.863,6.816,0,2.547,0,17.124,8.588,10.25,9.47,21.428,45.641,0,112.469,384.545,0,0,344.213,2.067,0,9.631,1.86,50.054,1.56,1.503,199.294,15049.081,0,18048.883,0,0,55.677,3.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.835,4.156,0,0,0,0,0,0,9.126,0,0,0,0,0,0,2.686,0,0,0,0,0,5.662,0,0,0,0,0,0,0.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SYR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"THA",0,0,0.808,120.08,111.637,0,36.164,0,0,1.497,0,0,110.859,0,0,0.73,0,11.899,0,2945.512,0,0,388.37,0,0,0,0,13.105,12.201,0,0,0,0,0,14.858,109.837,0,3131.694,0,0,0,0,5133.151,87,0.675,7.622,4.087,43.575,33.631,435.614,0,0,8717.507,0,0,2572.909,0,0,0,0,0,0,6990.599,0,0,15.222,0,0,764.505,0,0,8.892,0,37.298,68.592,0,3.439,0,0,1021.501,64.845,29.475,0,3,0,0,0,0,44.568,5068.224,1.653,0,7.395,19.169,0,74.049,1.258,1363.67,0,0,0,0,0,0,109.552,5.08,0,0,1093.195,0,10715.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.221,0,0,0,0,0,0,0,0,0,0,0
"TGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.171,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.716,0,3.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.924,0,0,0,0,0,0,0,7,0,0,0,0,0,1.456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUR",1.58,1.406,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.075,6.75,0,0,0,0,0,0,0,0,0,0,64.157,0,109.49,0,0,0,0,0,0,0.705,0,0,5.561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.584,0,0,0,0,0,0,0,0,0,0,2.037,0,1.412,0,0,0,0,0,0,0,1.5,0,0,1.541,0,3.689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.815,2.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UKR",1.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,4.899,0,102.725,0,0,0,0,0,0,0.959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.739,0,0.504,0,0,0,0,0,0,0,0,0,0,0,0,157.89,0,0,0,0,0,0,5.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MKD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EGY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GBR",498.854,1.02,42.505,325.244,178.09,0,41.424,0,1.44,263.298,0,0,329.845,0,4.368,17.234,0,0.699,1.463,9133.634,3.769,20.497,4.405,41.048,4.593,15.038,21.403,94.509,2327.78,0,0,0.805,0.646,3.646,1865.451,7203.661,0,9382.863,0,75.033,0,0,734.26,111.127,55.971,37.867,24.761,6154.619,1596.452,5695.451,1.413,4.043,2297.626,679.608,3.658,530.329,136.426,3.733,0,6.812,0,3.449,8.647,116.316,0,17.649,0,1.449,35.722,0,78.445,2265.328,0,73.386,778.982,0,191.335,0,2.747,419.726,342.213,954.073,1817.301,15,52.712,16.593,34.749,100.078,676.524,303.322,250.539,1.027,15.407,1098.106,27.789,2104.031,2654.2,1368.039,42.12,53.411,0,0,113.086,23.918,320.735,15.489,0.647,62.062,0,50.046,44770.608,1.648,248.535,29.783,1,26.211,0,0,0,0,0,7.958,0,19.454,15.751,0,0,0,32.619,0,34.606,9.676,144.133,0,0,0,11.057,3.843,21.397,14.124,167.493,0,0,0,118.267,3.751,0,0,0,0,0,0,0,20.874,11.77,0,1.892,0,0,7.651,0,92.888,0,0,0,0,0,0,13.048,0,0,0,0,37.48,0,0,0,0,12.478,0,0.815,0.584,3.174,8.147,101.925,0,0,0,0,0,0
"TZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
