"DZA","AUS","AUT","BEL","BIH","BRA","BGR","BLR","CMR","CAN","CHN","CRI","CZE","DNK","FIN","FRA","DEU","HKG","HUN","IDN","IRQ","IRL","ISR","ITA","JPN","KOR","LUX","MYS","MEX","NAM","NLD","NOR","PAK","PAN","PHL","POL","QAT","RUS","SAU","IND","SGP","SVK","SVN","ZAF","ESP","SWE","CHE","SYR","THA","ARE","TUR","UKR","EGY","GBR","USA","BHR","FJI","NZL","PNG","TLS","TZA","HRV","LTU","GIN","SCG","URY","IRN","PRK","KGZ","ROU","VNM","PYF","CIV","MDG","SYC","TUN","GRC","ISL","BGD","LKA","ALB","ETH","MLT","SDN","YEM","MUS","FSM","BRN","AGO","LVA","GUY","KAZ","UZB","LBN","MMR","NPL","BWA","LSO","MWI","ZWE","SWZ","ZMB","PRT","PER","GMB","EST","ARG","BHS","CHL","COL","CYP","DOM","ECU","SLV","GTM","HTI","JAM","MAC","KNA","TTO","VEN"
"NLD",0,0,0,12.078,0,0,0,0,0,0,190.975,0,0.034,0,0,85.832,8.448,0,0,0,0,0,0,0.869,382.811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.413,0,0,0,0,64.863,0,0,0,0,0,0,0,0,26.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NOR",0,0,0,0,0,0,0,0,0,47.47,581.188,0,62.657,598.076,2.19,0,885.392,0,0,0,0,0,0,206.116,468.692,1773.098,0,0,0,0,0,0,0,0,197.94,39.929,0,0,0,0,0,0,0,0,0,2.046,29.707,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PHL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.075,0,0,0,0,0,0,0,0,0,374.332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POL",0,0,0,0,0,0,0,5.155,0,0,0,0,26.527,0,0,10.867,0,0,0,0,0,0,0,0,88.656,0.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.81,0,0,0,0,0,0,0,1.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"QAT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RUS",0,0,0,0,0,0,5.134,1498.5,0,0,11.555,0,129.624,0,0,75.88,9513.198,9.043,0,0,0,0,6,0,3112.155,0,0,0,0,0,0,0,0,0,0,2.763,0,0,0,0,0,0,0,0,795.845,0,0,0,0,0,56,33.985,0,0,2.64,0,0,0,0,0,0,0,0.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.719,0,2.419,13.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IND",0,0,0,0,0,0,0,0,0,0,0.601,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317.992,0,0,0,0,0,0,0,0,0,28.04,0,0,0,355.892,0,0,0,0,0,0,0,0,0,110.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
